PlotNumber,Site,ProjectID,Treatment,Year,SiteSurveyor,RelocationConfidence,Longitude,Latitude,Elevation,Species,present,Functional_group
02-3085_2025,02-3085,Manning Park Project 2025,2025,2025,CML RNW,High,-120.763904,49.14058498,2038.597534,ABIEAMA,0,tree
02-3085_2025,02-3085,Manning Park Project 2025,2025,2025,CML RNW,High,-120.763904,49.14058498,2038.597534,ABIELAS,1,tree
02-3085_2025,02-3085,Manning Park Project 2025,2025,2025,CML RNW,High,-120.763904,49.14058498,2038.597534,AMELALN,0,shrub
02-3085_2025,02-3085,Manning Park Project 2025,2025,2025,CML RNW,High,-120.763904,49.14058498,2038.597534,ARNILAT,0,herb
02-3085_2025,02-3085,Manning Park Project 2025,2025,2025,CML RNW,High,-120.763904,49.14058498,2038.597534,CHAMANG,0,herb
02-3085_2025,02-3085,Manning Park Project 2025,2025,2025,CML RNW,High,-120.763904,49.14058498,2038.597534,CHIMUMB,0,shrub
02-3085_2025,02-3085,Manning Park Project 2025,2025,2025,CML RNW,High,-120.763904,49.14058498,2038.597534,CLINUNI,0,herb
02-3085_2025,02-3085,Manning Park Project 2025,2025,2025,CML RNW,High,-120.763904,49.14058498,2038.597534,CORNCAN,0,herb
02-3085_2025,02-3085,Manning Park Project 2025,2025,2025,CML RNW,High,-120.763904,49.14058498,2038.597534,GOODOBL,0,herb
02-3085_2025,02-3085,Manning Park Project 2025,2025,2025,CML RNW,High,-120.763904,49.14058498,2038.597534,LONIUTA,0,shrub
02-3085_2025,02-3085,Manning Park Project 2025,2025,2025,CML RNW,High,-120.763904,49.14058498,2038.597534,LUPIARC,1,herb
02-3085_2025,02-3085,Manning Park Project 2025,2025,2025,CML RNW,High,-120.763904,49.14058498,2038.597534,ORTHSEC,0,herb
02-3085_2025,02-3085,Manning Park Project 2025,2025,2025,CML RNW,High,-120.763904,49.14058498,2038.597534,PAXIMYR,0,shrub
02-3085_2025,02-3085,Manning Park Project 2025,2025,2025,CML RNW,High,-120.763904,49.14058498,2038.597534,PICEENG,1,tree
02-3085_2025,02-3085,Manning Park Project 2025,2025,2025,CML RNW,High,-120.763904,49.14058498,2038.597534,PINUCON,0,tree
02-3085_2025,02-3085,Manning Park Project 2025,2025,2025,CML RNW,High,-120.763904,49.14058498,2038.597534,PSEUMEN,0,tree
02-3085_2025,02-3085,Manning Park Project 2025,2025,2025,CML RNW,High,-120.763904,49.14058498,2038.597534,PYROASA,0,herb
02-3085_2025,02-3085,Manning Park Project 2025,2025,2025,CML RNW,High,-120.763904,49.14058498,2038.597534,RHODALB,0,shrub
02-3085_2025,02-3085,Manning Park Project 2025,2025,2025,CML RNW,High,-120.763904,49.14058498,2038.597534,RIBEACE,0,shrub
02-3085_2025,02-3085,Manning Park Project 2025,2025,2025,CML RNW,High,-120.763904,49.14058498,2038.597534,RIBELAC,0,shrub
02-3085_2025,02-3085,Manning Park Project 2025,2025,2025,CML RNW,High,-120.763904,49.14058498,2038.597534,RUBUPAR,0,shrub
02-3085_2025,02-3085,Manning Park Project 2025,2025,2025,CML RNW,High,-120.763904,49.14058498,2038.597534,RUBUPED,0,herb
02-3085_2025,02-3085,Manning Park Project 2025,2025,2025,CML RNW,High,-120.763904,49.14058498,2038.597534,SORBSCO,0,shrub
02-3085_2025,02-3085,Manning Park Project 2025,2025,2025,CML RNW,High,-120.763904,49.14058498,2038.597534,SORBSIT,0,shrub
02-3085_2025,02-3085,Manning Park Project 2025,2025,2025,CML RNW,High,-120.763904,49.14058498,2038.597534,SPIRLUC,0,shrub
02-3085_2025,02-3085,Manning Park Project 2025,2025,2025,CML RNW,High,-120.763904,49.14058498,2038.597534,TIARTRI,0,herb
02-3085_2025,02-3085,Manning Park Project 2025,2025,2025,CML RNW,High,-120.763904,49.14058498,2038.597534,TSUGHET,0,tree
02-3085_2025,02-3085,Manning Park Project 2025,2025,2025,CML RNW,High,-120.763904,49.14058498,2038.597534,VACCMEM,1,shrub
02-3085_2025,02-3085,Manning Park Project 2025,2025,2025,CML RNW,High,-120.763904,49.14058498,2038.597534,VACCSCO,1,shrub
02-3085_2025,02-3085,Manning Park Project 2025,2025,2025,CML RNW,High,-120.763904,49.14058498,2038.597534,VALESIT,0,herb
02-3085_Error,02-3085,Manning Park Project 2025,Error,2025,CML RNW,Med-High,-120.763681,49.140947,2042.98291,ABIEAMA,0,tree
02-3085_Error,02-3085,Manning Park Project 2025,Error,2025,CML RNW,Med-High,-120.763681,49.140947,2042.98291,ABIELAS,1,tree
02-3085_Error,02-3085,Manning Park Project 2025,Error,2025,CML RNW,Med-High,-120.763681,49.140947,2042.98291,AMELALN,0,shrub
02-3085_Error,02-3085,Manning Park Project 2025,Error,2025,CML RNW,Med-High,-120.763681,49.140947,2042.98291,ARNILAT,1,herb
02-3085_Error,02-3085,Manning Park Project 2025,Error,2025,CML RNW,Med-High,-120.763681,49.140947,2042.98291,CHAMANG,0,herb
02-3085_Error,02-3085,Manning Park Project 2025,Error,2025,CML RNW,Med-High,-120.763681,49.140947,2042.98291,CHIMUMB,0,shrub
02-3085_Error,02-3085,Manning Park Project 2025,Error,2025,CML RNW,Med-High,-120.763681,49.140947,2042.98291,CLINUNI,0,herb
02-3085_Error,02-3085,Manning Park Project 2025,Error,2025,CML RNW,Med-High,-120.763681,49.140947,2042.98291,CORNCAN,0,herb
02-3085_Error,02-3085,Manning Park Project 2025,Error,2025,CML RNW,Med-High,-120.763681,49.140947,2042.98291,GOODOBL,0,herb
02-3085_Error,02-3085,Manning Park Project 2025,Error,2025,CML RNW,Med-High,-120.763681,49.140947,2042.98291,LONIUTA,0,shrub
02-3085_Error,02-3085,Manning Park Project 2025,Error,2025,CML RNW,Med-High,-120.763681,49.140947,2042.98291,LUPIARC,1,herb
02-3085_Error,02-3085,Manning Park Project 2025,Error,2025,CML RNW,Med-High,-120.763681,49.140947,2042.98291,ORTHSEC,0,herb
02-3085_Error,02-3085,Manning Park Project 2025,Error,2025,CML RNW,Med-High,-120.763681,49.140947,2042.98291,PAXIMYR,0,shrub
02-3085_Error,02-3085,Manning Park Project 2025,Error,2025,CML RNW,Med-High,-120.763681,49.140947,2042.98291,PICEENG,1,tree
02-3085_Error,02-3085,Manning Park Project 2025,Error,2025,CML RNW,Med-High,-120.763681,49.140947,2042.98291,PINUCON,1,tree
02-3085_Error,02-3085,Manning Park Project 2025,Error,2025,CML RNW,Med-High,-120.763681,49.140947,2042.98291,PSEUMEN,0,tree
02-3085_Error,02-3085,Manning Park Project 2025,Error,2025,CML RNW,Med-High,-120.763681,49.140947,2042.98291,PYROASA,0,herb
02-3085_Error,02-3085,Manning Park Project 2025,Error,2025,CML RNW,Med-High,-120.763681,49.140947,2042.98291,RHODALB,0,shrub
02-3085_Error,02-3085,Manning Park Project 2025,Error,2025,CML RNW,Med-High,-120.763681,49.140947,2042.98291,RIBEACE,0,shrub
02-3085_Error,02-3085,Manning Park Project 2025,Error,2025,CML RNW,Med-High,-120.763681,49.140947,2042.98291,RIBELAC,0,shrub
02-3085_Error,02-3085,Manning Park Project 2025,Error,2025,CML RNW,Med-High,-120.763681,49.140947,2042.98291,RUBUPAR,0,shrub
02-3085_Error,02-3085,Manning Park Project 2025,Error,2025,CML RNW,Med-High,-120.763681,49.140947,2042.98291,RUBUPED,0,herb
02-3085_Error,02-3085,Manning Park Project 2025,Error,2025,CML RNW,Med-High,-120.763681,49.140947,2042.98291,SORBSCO,0,shrub
02-3085_Error,02-3085,Manning Park Project 2025,Error,2025,CML RNW,Med-High,-120.763681,49.140947,2042.98291,SORBSIT,0,shrub
02-3085_Error,02-3085,Manning Park Project 2025,Error,2025,CML RNW,Med-High,-120.763681,49.140947,2042.98291,SPIRLUC,0,shrub
02-3085_Error,02-3085,Manning Park Project 2025,Error,2025,CML RNW,Med-High,-120.763681,49.140947,2042.98291,TIARTRI,0,herb
02-3085_Error,02-3085,Manning Park Project 2025,Error,2025,CML RNW,Med-High,-120.763681,49.140947,2042.98291,TSUGHET,0,tree
02-3085_Error,02-3085,Manning Park Project 2025,Error,2025,CML RNW,Med-High,-120.763681,49.140947,2042.98291,VACCMEM,0,shrub
02-3085_Error,02-3085,Manning Park Project 2025,Error,2025,CML RNW,Med-High,-120.763681,49.140947,2042.98291,VACCSCO,1,shrub
02-3085_Error,02-3085,Manning Park Project 2025,Error,2025,CML RNW,Med-High,-120.763681,49.140947,2042.98291,VALESIT,1,herb
02-3089_2025,02-3089,Manning Park Project 2025,2025,2025,CML RNW,High,-120.756704,49.14995,2130.962158,ABIEAMA,0,tree
02-3089_2025,02-3089,Manning Park Project 2025,2025,2025,CML RNW,High,-120.756704,49.14995,2130.962158,ABIELAS,1,tree
02-3089_2025,02-3089,Manning Park Project 2025,2025,2025,CML RNW,High,-120.756704,49.14995,2130.962158,AMELALN,0,shrub
02-3089_2025,02-3089,Manning Park Project 2025,2025,2025,CML RNW,High,-120.756704,49.14995,2130.962158,ARNILAT,1,herb
02-3089_2025,02-3089,Manning Park Project 2025,2025,2025,CML RNW,High,-120.756704,49.14995,2130.962158,CHAMANG,0,herb
02-3089_2025,02-3089,Manning Park Project 2025,2025,2025,CML RNW,High,-120.756704,49.14995,2130.962158,CHIMUMB,0,shrub
02-3089_2025,02-3089,Manning Park Project 2025,2025,2025,CML RNW,High,-120.756704,49.14995,2130.962158,CLINUNI,0,herb
02-3089_2025,02-3089,Manning Park Project 2025,2025,2025,CML RNW,High,-120.756704,49.14995,2130.962158,CORNCAN,0,herb
02-3089_2025,02-3089,Manning Park Project 2025,2025,2025,CML RNW,High,-120.756704,49.14995,2130.962158,GOODOBL,0,herb
02-3089_2025,02-3089,Manning Park Project 2025,2025,2025,CML RNW,High,-120.756704,49.14995,2130.962158,LONIUTA,0,shrub
02-3089_2025,02-3089,Manning Park Project 2025,2025,2025,CML RNW,High,-120.756704,49.14995,2130.962158,LUPIARC,1,herb
02-3089_2025,02-3089,Manning Park Project 2025,2025,2025,CML RNW,High,-120.756704,49.14995,2130.962158,ORTHSEC,0,herb
02-3089_2025,02-3089,Manning Park Project 2025,2025,2025,CML RNW,High,-120.756704,49.14995,2130.962158,PAXIMYR,0,shrub
02-3089_2025,02-3089,Manning Park Project 2025,2025,2025,CML RNW,High,-120.756704,49.14995,2130.962158,PICEENG,0,tree
02-3089_2025,02-3089,Manning Park Project 2025,2025,2025,CML RNW,High,-120.756704,49.14995,2130.962158,PINUCON,0,tree
02-3089_2025,02-3089,Manning Park Project 2025,2025,2025,CML RNW,High,-120.756704,49.14995,2130.962158,PSEUMEN,0,tree
02-3089_2025,02-3089,Manning Park Project 2025,2025,2025,CML RNW,High,-120.756704,49.14995,2130.962158,PYROASA,0,herb
02-3089_2025,02-3089,Manning Park Project 2025,2025,2025,CML RNW,High,-120.756704,49.14995,2130.962158,RHODALB,0,shrub
02-3089_2025,02-3089,Manning Park Project 2025,2025,2025,CML RNW,High,-120.756704,49.14995,2130.962158,RIBEACE,0,shrub
02-3089_2025,02-3089,Manning Park Project 2025,2025,2025,CML RNW,High,-120.756704,49.14995,2130.962158,RIBELAC,0,shrub
02-3089_2025,02-3089,Manning Park Project 2025,2025,2025,CML RNW,High,-120.756704,49.14995,2130.962158,RUBUPAR,0,shrub
02-3089_2025,02-3089,Manning Park Project 2025,2025,2025,CML RNW,High,-120.756704,49.14995,2130.962158,RUBUPED,0,herb
02-3089_2025,02-3089,Manning Park Project 2025,2025,2025,CML RNW,High,-120.756704,49.14995,2130.962158,SORBSCO,0,shrub
02-3089_2025,02-3089,Manning Park Project 2025,2025,2025,CML RNW,High,-120.756704,49.14995,2130.962158,SORBSIT,0,shrub
02-3089_2025,02-3089,Manning Park Project 2025,2025,2025,CML RNW,High,-120.756704,49.14995,2130.962158,SPIRLUC,0,shrub
02-3089_2025,02-3089,Manning Park Project 2025,2025,2025,CML RNW,High,-120.756704,49.14995,2130.962158,TIARTRI,0,herb
02-3089_2025,02-3089,Manning Park Project 2025,2025,2025,CML RNW,High,-120.756704,49.14995,2130.962158,TSUGHET,0,tree
02-3089_2025,02-3089,Manning Park Project 2025,2025,2025,CML RNW,High,-120.756704,49.14995,2130.962158,VACCMEM,0,shrub
02-3089_2025,02-3089,Manning Park Project 2025,2025,2025,CML RNW,High,-120.756704,49.14995,2130.962158,VACCSCO,1,shrub
02-3089_2025,02-3089,Manning Park Project 2025,2025,2025,CML RNW,High,-120.756704,49.14995,2130.962158,VALESIT,0,herb
02-3089_Error,02-3089,Manning Park Project 2025,Error,2025,CML RNW,Med-low,-120.756567,49.14953803,2124.682373,ABIEAMA,0,tree
