PlotNumber,Site,ProjectID,Treatment,Year,SiteSurveyor,RelocationConfidence,Longitude,Latitude,Elevation,Species,present,Functional_group
02-3085_2025,02-3085,Manning Park Project 2025,2025,2025,CML RNW,High,-120.763904,49.14058498,2038.597534,ABIEAMA,0,tree
02-3085_2025,02-3085,Manning Park Project 2025,2025,2025,CML RNW,High,-120.763904,49.14058498,2038.597534,ABIELAS,1,tree
02-3085_2025,02-3085,Manning Park Project 2025,2025,2025,CML RNW,High,-120.763904,49.14058498,2038.597534,ACHIMIL,0,NA
02-3085_2025,02-3085,Manning Park Project 2025,2025,2025,CML RNW,High,-120.763904,49.14058498,2038.597534,ACONCOL,0,NA
02-3085_2025,02-3085,Manning Park Project 2025,2025,2025,CML RNW,High,-120.763904,49.14058498,2038.597534,ACTARUB,0,NA
02-3085_2025,02-3085,Manning Park Project 2025,2025,2025,CML RNW,High,-120.763904,49.14058498,2038.597534,AGOSAUR,0,NA
02-3085_2025,02-3085,Manning Park Project 2025,2025,2025,CML RNW,High,-120.763904,49.14058498,2038.597534,AMELALN,0,shrub
02-3085_2025,02-3085,Manning Park Project 2025,2025,2025,CML RNW,High,-120.763904,49.14058498,2038.597534,ANEMGRA,0,NA
02-3085_2025,02-3085,Manning Park Project 2025,2025,2025,CML RNW,High,-120.763904,49.14058498,2038.597534,ANGEARG,0,NA
02-3085_2025,02-3085,Manning Park Project 2025,2025,2025,CML RNW,High,-120.763904,49.14058498,2038.597534,ANGEGEN,0,NA
02-3085_2025,02-3085,Manning Park Project 2025,2025,2025,CML RNW,High,-120.763904,49.14058498,2038.597534,ANTELAN,1,NA
02-3085_2025,02-3085,Manning Park Project 2025,2025,2025,CML RNW,High,-120.763904,49.14058498,2038.597534,ANTERAC,0,NA
02-3085_2025,02-3085,Manning Park Project 2025,2025,2025,CML RNW,High,-120.763904,49.14058498,2038.597534,ANTEROS,0,NA
02-3085_2025,02-3085,Manning Park Project 2025,2025,2025,CML RNW,High,-120.763904,49.14058498,2038.597534,ARCTUVA,0,NA
02-3085_2025,02-3085,Manning Park Project 2025,2025,2025,CML RNW,High,-120.763904,49.14058498,2038.597534,ARNICOR,0,NA
02-3085_2025,02-3085,Manning Park Project 2025,2025,2025,CML RNW,High,-120.763904,49.14058498,2038.597534,ARNILAT,0,herb
02-3085_2025,02-3085,Manning Park Project 2025,2025,2025,CML RNW,High,-120.763904,49.14058498,2038.597534,ARNIPAR,0,NA
02-3085_2025,02-3085,Manning Park Project 2025,2025,2025,CML RNW,High,-120.763904,49.14058498,2038.597534,ATHYFIL,0,NA
02-3085_2025,02-3085,Manning Park Project 2025,2025,2025,CML RNW,High,-120.763904,49.14058498,2038.597534,CASSMER,0,NA
02-3085_2025,02-3085,Manning Park Project 2025,2025,2025,CML RNW,High,-120.763904,49.14058498,2038.597534,CASTPAR,0,NA
02-3085_2025,02-3085,Manning Park Project 2025,2025,2025,CML RNW,High,-120.763904,49.14058498,2038.597534,CEANVEL,0,NA
02-3085_2025,02-3085,Manning Park Project 2025,2025,2025,CML RNW,High,-120.763904,49.14058498,2038.597534,CHAMANG,0,herb
02-3085_2025,02-3085,Manning Park Project 2025,2025,2025,CML RNW,High,-120.763904,49.14058498,2038.597534,CHIMUMB,0,shrub
02-3085_2025,02-3085,Manning Park Project 2025,2025,2025,CML RNW,High,-120.763904,49.14058498,2038.597534,CLAYPER,0,NA
02-3085_2025,02-3085,Manning Park Project 2025,2025,2025,CML RNW,High,-120.763904,49.14058498,2038.597534,CLINUNI,0,herb
02-3085_2025,02-3085,Manning Park Project 2025,2025,2025,CML RNW,High,-120.763904,49.14058498,2038.597534,DRYMGLA,0,NA
02-3085_2025,02-3085,Manning Park Project 2025,2025,2025,CML RNW,High,-120.763904,49.14058498,2038.597534,DRYMPSE,0,NA
02-3085_2025,02-3085,Manning Park Project 2025,2025,2025,CML RNW,High,-120.763904,49.14058498,2038.597534,EPILGLA,0,NA
02-3085_2025,02-3085,Manning Park Project 2025,2025,2025,CML RNW,High,-120.763904,49.14058498,2038.597534,EQUIARV,0,NA
02-3085_2025,02-3085,Manning Park Project 2025,2025,2025,CML RNW,High,-120.763904,49.14058498,2038.597534,EREMCAP,1,NA
02-3085_2025,02-3085,Manning Park Project 2025,2025,2025,CML RNW,High,-120.763904,49.14058498,2038.597534,ERIGAUR,0,NA
02-3085_2025,02-3085,Manning Park Project 2025,2025,2025,CML RNW,High,-120.763904,49.14058498,2038.597534,ERIGCOM,0,NA
02-3085_2025,02-3085,Manning Park Project 2025,2025,2025,CML RNW,High,-120.763904,49.14058498,2038.597534,ERIGGLA,1,NA
02-3085_2025,02-3085,Manning Park Project 2025,2025,2025,CML RNW,High,-120.763904,49.14058498,2038.597534,ERIOOVA,0,NA
02-3085_2025,02-3085,Manning Park Project 2025,2025,2025,CML RNW,High,-120.763904,49.14058498,2038.597534,ERIOUMB,0,NA
02-3085_2025,02-3085,Manning Park Project 2025,2025,2025,CML RNW,High,-120.763904,49.14058498,2038.597534,ERYTGRA,0,NA
02-3085_2025,02-3085,Manning Park Project 2025,2025,2025,CML RNW,High,-120.763904,49.14058498,2038.597534,FRAGVIR,0,NA
02-3085_2025,02-3085,Manning Park Project 2025,2025,2025,CML RNW,High,-120.763904,49.14058498,2038.597534,GALITRF,0,NA
02-3085_2025,02-3085,Manning Park Project 2025,2025,2025,CML RNW,High,-120.763904,49.14058498,2038.597534,GOODOBL,0,herb
02-3085_2025,02-3085,Manning Park Project 2025,2025,2025,CML RNW,High,-120.763904,49.14058498,2038.597534,GYMNDRY,0,NA
02-3085_2025,02-3085,Manning Park Project 2025,2025,2025,CML RNW,High,-120.763904,49.14058498,2038.597534,HERAMAX,0,NA
02-3085_2025,02-3085,Manning Park Project 2025,2025,2025,CML RNW,High,-120.763904,49.14058498,2038.597534,HEUCCYL,0,NA
02-3085_2025,02-3085,Manning Park Project 2025,2025,2025,CML RNW,High,-120.763904,49.14058498,2038.597534,HIERALB,0,NA
02-3085_2025,02-3085,Manning Park Project 2025,2025,2025,CML RNW,High,-120.763904,49.14058498,2038.597534,HIERTRI,1,NA
02-3085_2025,02-3085,Manning Park Project 2025,2025,2025,CML RNW,High,-120.763904,49.14058498,2038.597534,HIERUMB,0,NA
02-3085_2025,02-3085,Manning Park Project 2025,2025,2025,CML RNW,High,-120.763904,49.14058498,2038.597534,HOLODIS,0,NA
02-3085_2025,02-3085,Manning Park Project 2025,2025,2025,CML RNW,High,-120.763904,49.14058498,2038.597534,JUNICOM,0,NA
02-3085_2025,02-3085,Manning Park Project 2025,2025,2025,CML RNW,High,-120.763904,49.14058498,2038.597534,LEPTPYR,0,NA
02-3085_2025,02-3085,Manning Park Project 2025,2025,2025,CML RNW,High,-120.763904,49.14058498,2038.597534,LILICOL,0,NA
02-3085_2025,02-3085,Manning Park Project 2025,2025,2025,CML RNW,High,-120.763904,49.14058498,2038.597534,LONIINV,0,NA
02-3085_2025,02-3085,Manning Park Project 2025,2025,2025,CML RNW,High,-120.763904,49.14058498,2038.597534,LONIUTA,0,shrub
02-3085_2025,02-3085,Manning Park Project 2025,2025,2025,CML RNW,High,-120.763904,49.14058498,2038.597534,LUETPEC,1,NA
02-3085_2025,02-3085,Manning Park Project 2025,2025,2025,CML RNW,High,-120.763904,49.14058498,2038.597534,LUPIARC,1,herb
02-3085_2025,02-3085,Manning Park Project 2025,2025,2025,CML RNW,High,-120.763904,49.14058498,2038.597534,MAHOAQU,0,NA
02-3085_2025,02-3085,Manning Park Project 2025,2025,2025,CML RNW,High,-120.763904,49.14058498,2038.597534,MICRODO,0,NA
02-3085_2025,02-3085,Manning Park Project 2025,2025,2025,CML RNW,High,-120.763904,49.14058498,2038.597534,MOEHMAC,0,NA
02-3085_2025,02-3085,Manning Park Project 2025,2025,2025,CML RNW,High,-120.763904,49.14058498,2038.597534,NEOTCOR,0,NA
02-3085_2025,02-3085,Manning Park Project 2025,2025,2025,CML RNW,High,-120.763904,49.14058498,2038.597534,ORTHSEC,0,herb
02-3085_2025,02-3085,Manning Park Project 2025,2025,2025,CML RNW,High,-120.763904,49.14058498,2038.597534,OSMOCHI,0,NA
02-3085_2025,02-3085,Manning Park Project 2025,2025,2025,CML RNW,High,-120.763904,49.14058498,2038.597534,PACKCAN,0,NA
02-3085_2025,02-3085,Manning Park Project 2025,2025,2025,CML RNW,High,-120.763904,49.14058498,2038.597534,PARNFIM,0,NA
02-3085_2025,02-3085,Manning Park Project 2025,2025,2025,CML RNW,High,-120.763904,49.14058498,2038.597534,PAXIMYR,0,shrub
02-3085_2025,02-3085,Manning Park Project 2025,2025,2025,CML RNW,High,-120.763904,49.14058498,2038.597534,PEDIBRA,0,NA
02-3085_2025,02-3085,Manning Park Project 2025,2025,2025,CML RNW,High,-120.763904,49.14058498,2038.597534,PEDIRAC,0,NA
02-3085_2025,02-3085,Manning Park Project 2025,2025,2025,CML RNW,High,-120.763904,49.14058498,2038.597534,PENSFRU,0,NA
02-3085_2025,02-3085,Manning Park Project 2025,2025,2025,CML RNW,High,-120.763904,49.14058498,2038.597534,PENSPRO,0,NA
02-3085_2025,02-3085,Manning Park Project 2025,2025,2025,CML RNW,High,-120.763904,49.14058498,2038.597534,PHLODIF,1,NA
02-3085_2025,02-3085,Manning Park Project 2025,2025,2025,CML RNW,High,-120.763904,49.14058498,2038.597534,PHYLEMP,1,NA
02-3085_2025,02-3085,Manning Park Project 2025,2025,2025,CML RNW,High,-120.763904,49.14058498,2038.597534,PICEENG,1,tree
02-3085_2025,02-3085,Manning Park Project 2025,2025,2025,CML RNW,High,-120.763904,49.14058498,2038.597534,PINUALB,1,NA
02-3085_2025,02-3085,Manning Park Project 2025,2025,2025,CML RNW,High,-120.763904,49.14058498,2038.597534,PINUCON,0,tree
02-3085_2025,02-3085,Manning Park Project 2025,2025,2025,CML RNW,High,-120.763904,49.14058498,2038.597534,PLATSTR,0,NA
02-3085_2025,02-3085,Manning Park Project 2025,2025,2025,CML RNW,High,-120.763904,49.14058498,2038.597534,POLEPUL,0,NA
02-3085_2025,02-3085,Manning Park Project 2025,2025,2025,CML RNW,High,-120.763904,49.14058498,2038.597534,POTEFLA,1,NA
02-3085_2025,02-3085,Manning Park Project 2025,2025,2025,CML RNW,High,-120.763904,49.14058498,2038.597534,POTEGLU,0,NA
02-3085_2025,02-3085,Manning Park Project 2025,2025,2025,CML RNW,High,-120.763904,49.14058498,2038.597534,PSEUMEN,0,tree
02-3085_2025,02-3085,Manning Park Project 2025,2025,2025,CML RNW,High,-120.763904,49.14058498,2038.597534,PULSOCC,0,NA
02-3085_2025,02-3085,Manning Park Project 2025,2025,2025,CML RNW,High,-120.763904,49.14058498,2038.597534,PYROASA,0,herb
02-3085_2025,02-3085,Manning Park Project 2025,2025,2025,CML RNW,High,-120.763904,49.14058498,2038.597534,RHODALB,0,shrub
02-3085_2025,02-3085,Manning Park Project 2025,2025,2025,CML RNW,High,-120.763904,49.14058498,2038.597534,RIBELAC,0,shrub
02-3085_2025,02-3085,Manning Park Project 2025,2025,2025,CML RNW,High,-120.763904,49.14058498,2038.597534,RIBEVIS,0,NA
02-3085_2025,02-3085,Manning Park Project 2025,2025,2025,CML RNW,High,-120.763904,49.14058498,2038.597534,RUBUPAR,0,shrub
02-3085_2025,02-3085,Manning Park Project 2025,2025,2025,CML RNW,High,-120.763904,49.14058498,2038.597534,RUBUPED,0,herb
02-3085_2025,02-3085,Manning Park Project 2025,2025,2025,CML RNW,High,-120.763904,49.14058498,2038.597534,SAXIAUS,0,NA
02-3085_2025,02-3085,Manning Park Project 2025,2025,2025,CML RNW,High,-120.763904,49.14058498,2038.597534,SEDUDIV,0,NA
02-3085_2025,02-3085,Manning Park Project 2025,2025,2025,CML RNW,High,-120.763904,49.14058498,2038.597534,SEDULAN,0,NA
02-3085_2025,02-3085,Manning Park Project 2025,2025,2025,CML RNW,High,-120.763904,49.14058498,2038.597534,SENETRI,0,NA
02-3085_2025,02-3085,Manning Park Project 2025,2025,2025,CML RNW,High,-120.763904,49.14058498,2038.597534,SILEPAR,0,NA
02-3085_2025,02-3085,Manning Park Project 2025,2025,2025,CML RNW,High,-120.763904,49.14058498,2038.597534,SORBSCO,0,shrub
02-3085_2025,02-3085,Manning Park Project 2025,2025,2025,CML RNW,High,-120.763904,49.14058498,2038.597534,SORBSIT,0,shrub
02-3085_2025,02-3085,Manning Park Project 2025,2025,2025,CML RNW,High,-120.763904,49.14058498,2038.597534,SPIRLUC,0,shrub
02-3085_2025,02-3085,Manning Park Project 2025,2025,2025,CML RNW,High,-120.763904,49.14058498,2038.597534,STREAMP,0,NA
