"","...1","Species","Functional_group","ProjectID","PlotNumber","SiteSurveyor","Year","YearsSinceStart","RelocationConfidence","Latitude","Longitude","Elevation","present","Cover","Elevation_sc","Time_sc","Time"
"1",1,"ABIEAMA","tree","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,1,120,-0.153089548726421,-0.795481960969324,"historical"
"2",2,"ABIEGRA","tree","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"3",3,"ABIELAS","tree","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,1,10,-0.153089548726421,-0.795481960969324,"historical"
"4",4,"ACERCIR","tree","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"5",5,"ACERGLA","shrub","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"6",6,"ACHIMIL","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"7",7,"ACONCOL","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"8",8,"ACONDEL","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"9",9,"ACTARUB","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"10",10,"ADENBIC","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"11",11,"AGOSAUR","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"12",12,"AGOSGLA","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"13",13,"ALNUALN","tree","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"14",14,"ALNUCRI","shrub","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"15",15,"ALNUINC","tree","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"16",16,"ALNURUB","tree","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"17",17,"AMELALN","shrub","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"18",18,"ANAPMAR","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"19",19,"ANEMGRA","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"20",20,"ANGEARG","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"21",21,"ANGEGEN","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"22",22,"ANTEALP","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"23",23,"ANTELAN","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"24",24,"ANTENEG","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
