"","...1","PlotNumber","ProjectID","Date","SiteSurveyor","PlotRepresenting","Location","Ecosection","Longitude","Latitude","LocationAccuracy","Elevation","SlopeGradient","Aspect","MesoSlopePosition","SurfaceShape","SiteNotes","SoilNotes","VegSurveyor","StrataCoverTree","StrataCoverShrub","StrataCoverHerb","StrataCoverMoss","VegNotes","SpeciesListComplete","Species","Latin_name","Functional_group","Cover A1","Cover A2","Cover A3","TotalA","Cover B1","Cover B2","TotalB","Cover C","Cover D","Cover E","Cover F"
"1",15,"00NCe73","NCBG_ESSFplots",2000-10-01,"jpstamp","ESSFmw forested mesic mid-seral post-harvest","Cambie Creek (Fat Dog Creek) in Manning Provincial Park","HOR",-120.8200364,49.12286895,100,1455,56,353,"MD","ST","--EcoPoly: 12278	
--FC: no typing available
--%canclosure: 50, 85, 90, 40= 66; this is a better estimate of the overall coverage of A layer and B1 layer coverage at the site)
--very closed canopy forest
--S-M sized old herbaceous scat in plot",NA,"jpstamp",55,98,10,60,NA,FALSE,"ABIELAS","Abies lasiocarpa","tree",NA,10,NA,10,NA,NA,NA,NA,NA,NA,NA
"2",16,"00NCe73","NCBG_ESSFplots",2000-10-01,"jpstamp","ESSFmw forested mesic mid-seral post-harvest","Cambie Creek (Fat Dog Creek) in Manning Provincial Park","HOR",-120.8200364,49.12286895,100,1455,56,353,"MD","ST","--EcoPoly: 12278	
--FC: no typing available
--%canclosure: 50, 85, 90, 40= 66; this is a better estimate of the overall coverage of A layer and B1 layer coverage at the site)
--very closed canopy forest
--S-M sized old herbaceous scat in plot",NA,"jpstamp",55,98,10,60,NA,FALSE,"ABIEAMA","Abies amabilis","tree",NA,15,10,25,65,30,95,NA,NA,NA,NA
"3",17,"00NCe73","NCBG_ESSFplots",2000-10-01,"jpstamp","ESSFmw forested mesic mid-seral post-harvest","Cambie Creek (Fat Dog Creek) in Manning Provincial Park","HOR",-120.8200364,49.12286895,100,1455,56,353,"MD","ST","--EcoPoly: 12278	
--FC: no typing available
--%canclosure: 50, 85, 90, 40= 66; this is a better estimate of the overall coverage of A layer and B1 layer coverage at the site)
--very closed canopy forest
--S-M sized old herbaceous scat in plot",NA,"jpstamp",55,98,10,60,NA,FALSE,"TSUGHET","Tsuga heterophylla","tree",NA,15,5,20,NA,NA,NA,NA,NA,NA,NA
"4",18,"00NCe73","NCBG_ESSFplots",2000-10-01,"jpstamp","ESSFmw forested mesic mid-seral post-harvest","Cambie Creek (Fat Dog Creek) in Manning Provincial Park","HOR",-120.8200364,49.12286895,100,1455,56,353,"MD","ST","--EcoPoly: 12278	
--FC: no typing available
--%canclosure: 50, 85, 90, 40= 66; this is a better estimate of the overall coverage of A layer and B1 layer coverage at the site)
--very closed canopy forest
--S-M sized old herbaceous scat in plot",NA,"jpstamp",55,98,10,60,NA,FALSE,"MENZFER","Menziesia ferruginea","shrub",NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA
"5",19,"00NCe73","NCBG_ESSFplots",2000-10-01,"jpstamp","ESSFmw forested mesic mid-seral post-harvest","Cambie Creek (Fat Dog Creek) in Manning Provincial Park","HOR",-120.8200364,49.12286895,100,1455,56,353,"MD","ST","--EcoPoly: 12278	
--FC: no typing available
--%canclosure: 50, 85, 90, 40= 66; this is a better estimate of the overall coverage of A layer and B1 layer coverage at the site)
--very closed canopy forest
--S-M sized old herbaceous scat in plot",NA,"jpstamp",55,98,10,60,NA,FALSE,"PICEENG","Picea engelmannii","tree",NA,NA,NA,NA,NA,0.100000001,0.100000001,NA,NA,NA,NA
"6",20,"00NCe73","NCBG_ESSFplots",2000-10-01,"jpstamp","ESSFmw forested mesic mid-seral post-harvest","Cambie Creek (Fat Dog Creek) in Manning Provincial Park","HOR",-120.8200364,49.12286895,100,1455,56,353,"MD","ST","--EcoPoly: 12278	
--FC: no typing available
--%canclosure: 50, 85, 90, 40= 66; this is a better estimate of the overall coverage of A layer and B1 layer coverage at the site)
--very closed canopy forest
--S-M sized old herbaceous scat in plot",NA,"jpstamp",55,98,10,60,NA,FALSE,"RUBUPED","Rubus pedatus","herb",NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA
"7",21,"00NCe73","NCBG_ESSFplots",2000-10-01,"jpstamp","ESSFmw forested mesic mid-seral post-harvest","Cambie Creek (Fat Dog Creek) in Manning Provincial Park","HOR",-120.8200364,49.12286895,100,1455,56,353,"MD","ST","--EcoPoly: 12278	
--FC: no typing available
--%canclosure: 50, 85, 90, 40= 66; this is a better estimate of the overall coverage of A layer and B1 layer coverage at the site)
--very closed canopy forest
--S-M sized old herbaceous scat in plot",NA,"jpstamp",55,98,10,60,NA,FALSE,"PAXIMYR","Paxistima myrsinites","shrub",NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA
"8",22,"00NCe73","NCBG_ESSFplots",2000-10-01,"jpstamp","ESSFmw forested mesic mid-seral post-harvest","Cambie Creek (Fat Dog Creek) in Manning Provincial Park","HOR",-120.8200364,49.12286895,100,1455,56,353,"MD","ST","--EcoPoly: 12278	
--FC: no typing available
--%canclosure: 50, 85, 90, 40= 66; this is a better estimate of the overall coverage of A layer and B1 layer coverage at the site)
--very closed canopy forest
--S-M sized old herbaceous scat in plot",NA,"jpstamp",55,98,10,60,NA,FALSE,"CORNCAN","Cornus canadensis","herb",NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA
"9",23,"00NCe73","NCBG_ESSFplots",2000-10-01,"jpstamp","ESSFmw forested mesic mid-seral post-harvest","Cambie Creek (Fat Dog Creek) in Manning Provincial Park","HOR",-120.8200364,49.12286895,100,1455,56,353,"MD","ST","--EcoPoly: 12278	
--FC: no typing available
--%canclosure: 50, 85, 90, 40= 66; this is a better estimate of the overall coverage of A layer and B1 layer coverage at the site)
--very closed canopy forest
--S-M sized old herbaceous scat in plot",NA,"jpstamp",55,98,10,60,NA,FALSE,"RHYTIDIOPSIS SP.","Rhytidiopsis spp.","moss",NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA
"10",24,"00NCe73","NCBG_ESSFplots",2000-10-01,"jpstamp","ESSFmw forested mesic mid-seral post-harvest","Cambie Creek (Fat Dog Creek) in Manning Provincial Park","HOR",-120.8200364,49.12286895,100,1455,56,353,"MD","ST","--EcoPoly: 12278	
--FC: no typing available
--%canclosure: 50, 85, 90, 40= 66; this is a better estimate of the overall coverage of A layer and B1 layer coverage at the site)
--very closed canopy forest
--S-M sized old herbaceous scat in plot",NA,"jpstamp",55,98,10,60,NA,FALSE,"TIARTRI","Tiarella trifoliata","herb",NA,NA,NA,NA,NA,NA,NA,0.100000001,NA,NA,NA
