"","PlotNumber","ProjectID","Latitude","Longitude","Elevation","Year","SiteSurveyor","Species","Cover","present","Functional_group"
"1","00NCe73","NCBG_ESSFplots",49.12286895,-120.8200364,1455,2000,"jpstamp","ABIEAMA",120,1,"tree"
"2","00NCe73","NCBG_ESSFplots",49.12286895,-120.8200364,1455,2000,"jpstamp","ABIELAS",10,1,"tree"
"3","00NCe73","NCBG_ESSFplots",49.12286895,-120.8200364,1455,2000,"jpstamp","AMELALN",0,0,"shrub"
"4","00NCe73","NCBG_ESSFplots",49.12286895,-120.8200364,1455,2000,"jpstamp","ARNILAT",0,0,"herb"
"5","00NCe73","NCBG_ESSFplots",49.12286895,-120.8200364,1455,2000,"jpstamp","CHAMANG",0,0,"herb"
"6","00NCe73","NCBG_ESSFplots",49.12286895,-120.8200364,1455,2000,"jpstamp","CHIMUMB",0,0,"shrub"
"7","00NCe73","NCBG_ESSFplots",49.12286895,-120.8200364,1455,2000,"jpstamp","CLINUNI",0,0,"herb"
"8","00NCe73","NCBG_ESSFplots",49.12286895,-120.8200364,1455,2000,"jpstamp","CORNCAN",3,1,"herb"
"9","00NCe73","NCBG_ESSFplots",49.12286895,-120.8200364,1455,2000,"jpstamp","FRAGVIR",0,0,"herb"
"10","00NCe73","NCBG_ESSFplots",49.12286895,-120.8200364,1455,2000,"jpstamp","GOODOBL",0,0,"herb"
"11","00NCe73","NCBG_ESSFplots",49.12286895,-120.8200364,1455,2000,"jpstamp","HERAMAX",0,0,"herb"
"12","00NCe73","NCBG_ESSFplots",49.12286895,-120.8200364,1455,2000,"jpstamp","LINNBOR",0,0,"shrub"
"13","00NCe73","NCBG_ESSFplots",49.12286895,-120.8200364,1455,2000,"jpstamp","LONIUTA",0,0,"shrub"
"14","00NCe73","NCBG_ESSFplots",49.12286895,-120.8200364,1455,2000,"jpstamp","LUPIARC",0,0,"herb"
"15","00NCe73","NCBG_ESSFplots",49.12286895,-120.8200364,1455,2000,"jpstamp","ORTHSEC",0,0,"herb"
"16","00NCe73","NCBG_ESSFplots",49.12286895,-120.8200364,1455,2000,"jpstamp","PAXIMYR",2,1,"shrub"
"17","00NCe73","NCBG_ESSFplots",49.12286895,-120.8200364,1455,2000,"jpstamp","PHLODIF",0,0,"herb"
"18","00NCe73","NCBG_ESSFplots",49.12286895,-120.8200364,1455,2000,"jpstamp","PICEENG",0.100000001,1,"tree"
"19","00NCe73","NCBG_ESSFplots",49.12286895,-120.8200364,1455,2000,"jpstamp","PINUCON",0,0,"tree"
"20","00NCe73","NCBG_ESSFplots",49.12286895,-120.8200364,1455,2000,"jpstamp","PSEUMEN",0,0,"tree"
"21","00NCe73","NCBG_ESSFplots",49.12286895,-120.8200364,1455,2000,"jpstamp","PYROASA",0,0,"herb"
"22","00NCe73","NCBG_ESSFplots",49.12286895,-120.8200364,1455,2000,"jpstamp","RHODALB",0,0,"shrub"
"23","00NCe73","NCBG_ESSFplots",49.12286895,-120.8200364,1455,2000,"jpstamp","RIBEACE",0,0,"shrub"
"24","00NCe73","NCBG_ESSFplots",49.12286895,-120.8200364,1455,2000,"jpstamp","RIBELAC",0,0,"shrub"
"25","00NCe73","NCBG_ESSFplots",49.12286895,-120.8200364,1455,2000,"jpstamp","RUBUPAR",0,0,"shrub"
"26","00NCe73","NCBG_ESSFplots",49.12286895,-120.8200364,1455,2000,"jpstamp","RUBUPED",5,1,"herb"
"27","00NCe73","NCBG_ESSFplots",49.12286895,-120.8200364,1455,2000,"jpstamp","SORBSCO",0,0,"shrub"
"28","00NCe73","NCBG_ESSFplots",49.12286895,-120.8200364,1455,2000,"jpstamp","SORBSIT",0,0,"shrub"
"29","00NCe73","NCBG_ESSFplots",49.12286895,-120.8200364,1455,2000,"jpstamp","SPIRLUC",0,0,"shrub"
"30","00NCe73","NCBG_ESSFplots",49.12286895,-120.8200364,1455,2000,"jpstamp","THALOCC",0,0,"herb"
"31","00NCe73","NCBG_ESSFplots",49.12286895,-120.8200364,1455,2000,"jpstamp","THUJPLI",0,0,"tree"
"32","00NCe73","NCBG_ESSFplots",49.12286895,-120.8200364,1455,2000,"jpstamp","TIARTRI",0.100000001,1,"herb"
"33","00NCe73","NCBG_ESSFplots",49.12286895,-120.8200364,1455,2000,"jpstamp","TSUGHET",20,1,"tree"
"34","00NCe73","NCBG_ESSFplots",49.12286895,-120.8200364,1455,2000,"jpstamp","VACCMEM",1,1,"shrub"
"35","00NCe73","NCBG_ESSFplots",49.12286895,-120.8200364,1455,2000,"jpstamp","VACCSCO",0,0,"shrub"
"36","00NCe73","NCBG_ESSFplots",49.12286895,-120.8200364,1455,2000,"jpstamp","VALESIT",0,0,"herb"
"37","00NCe73","NCBG_ESSFplots",49.12286895,-120.8200364,1455,2000,"jpstamp","VERAVIR",0,0,"herb"
"38","00NCe74","NCBG_ESSFplots",49.12958668,-120.8160951,1620,2000,"jpstamp","ABIEAMA",3,1,"tree"
"39","00NCe74","NCBG_ESSFplots",49.12958668,-120.8160951,1620,2000,"jpstamp","ABIELAS",22,1,"tree"
"40","00NCe74","NCBG_ESSFplots",49.12958668,-120.8160951,1620,2000,"jpstamp","AMELALN",0,0,"shrub"
"41","00NCe74","NCBG_ESSFplots",49.12958668,-120.8160951,1620,2000,"jpstamp","ARNILAT",0.100000001,1,"herb"
"42","00NCe74","NCBG_ESSFplots",49.12958668,-120.8160951,1620,2000,"jpstamp","CHAMANG",50,1,"herb"
"43","00NCe74","NCBG_ESSFplots",49.12958668,-120.8160951,1620,2000,"jpstamp","CHIMUMB",0,0,"shrub"
"44","00NCe74","NCBG_ESSFplots",49.12958668,-120.8160951,1620,2000,"jpstamp","CLINUNI",1,1,"herb"
"45","00NCe74","NCBG_ESSFplots",49.12958668,-120.8160951,1620,2000,"jpstamp","CORNCAN",0,0,"herb"
"46","00NCe74","NCBG_ESSFplots",49.12958668,-120.8160951,1620,2000,"jpstamp","FRAGVIR",2,1,"herb"
"47","00NCe74","NCBG_ESSFplots",49.12958668,-120.8160951,1620,2000,"jpstamp","GOODOBL",0,0,"herb"
"48","00NCe74","NCBG_ESSFplots",49.12958668,-120.8160951,1620,2000,"jpstamp","HERAMAX",0,0,"herb"
"49","00NCe74","NCBG_ESSFplots",49.12958668,-120.8160951,1620,2000,"jpstamp","LINNBOR",0,0,"shrub"
"50","00NCe74","NCBG_ESSFplots",49.12958668,-120.8160951,1620,2000,"jpstamp","LONIUTA",1,1,"shrub"
"51","00NCe74","NCBG_ESSFplots",49.12958668,-120.8160951,1620,2000,"jpstamp","LUPIARC",5,1,"herb"
"52","00NCe74","NCBG_ESSFplots",49.12958668,-120.8160951,1620,2000,"jpstamp","ORTHSEC",0,0,"herb"
"53","00NCe74","NCBG_ESSFplots",49.12958668,-120.8160951,1620,2000,"jpstamp","PAXIMYR",8,1,"shrub"
"54","00NCe74","NCBG_ESSFplots",49.12958668,-120.8160951,1620,2000,"jpstamp","PHLODIF",0,0,"herb"
"55","00NCe74","NCBG_ESSFplots",49.12958668,-120.8160951,1620,2000,"jpstamp","PICEENG",0,0,"tree"
"56","00NCe74","NCBG_ESSFplots",49.12958668,-120.8160951,1620,2000,"jpstamp","PINUCON",1,1,"tree"
"57","00NCe74","NCBG_ESSFplots",49.12958668,-120.8160951,1620,2000,"jpstamp","PSEUMEN",0,0,"tree"
"58","00NCe74","NCBG_ESSFplots",49.12958668,-120.8160951,1620,2000,"jpstamp","PYROASA",0,0,"herb"
"59","00NCe74","NCBG_ESSFplots",49.12958668,-120.8160951,1620,2000,"jpstamp","RHODALB",3,1,"shrub"
"60","00NCe74","NCBG_ESSFplots",49.12958668,-120.8160951,1620,2000,"jpstamp","RIBEACE",1,1,"shrub"
"61","00NCe74","NCBG_ESSFplots",49.12958668,-120.8160951,1620,2000,"jpstamp","RIBELAC",5,1,"shrub"
"62","00NCe74","NCBG_ESSFplots",49.12958668,-120.8160951,1620,2000,"jpstamp","RUBUPAR",4,1,"shrub"
"63","00NCe74","NCBG_ESSFplots",49.12958668,-120.8160951,1620,2000,"jpstamp","RUBUPED",0,0,"herb"
"64","00NCe74","NCBG_ESSFplots",49.12958668,-120.8160951,1620,2000,"jpstamp","SORBSCO",0,0,"shrub"
"65","00NCe74","NCBG_ESSFplots",49.12958668,-120.8160951,1620,2000,"jpstamp","SORBSIT",0,0,"shrub"
"66","00NCe74","NCBG_ESSFplots",49.12958668,-120.8160951,1620,2000,"jpstamp","SPIRLUC",8,1,"shrub"
"67","00NCe74","NCBG_ESSFplots",49.12958668,-120.8160951,1620,2000,"jpstamp","THALOCC",1,1,"herb"
"68","00NCe74","NCBG_ESSFplots",49.12958668,-120.8160951,1620,2000,"jpstamp","THUJPLI",0,0,"tree"
"69","00NCe74","NCBG_ESSFplots",49.12958668,-120.8160951,1620,2000,"jpstamp","TIARTRI",0,0,"herb"
"70","00NCe74","NCBG_ESSFplots",49.12958668,-120.8160951,1620,2000,"jpstamp","TSUGHET",0,0,"tree"
"71","00NCe74","NCBG_ESSFplots",49.12958668,-120.8160951,1620,2000,"jpstamp","VACCMEM",18,1,"shrub"
"72","00NCe74","NCBG_ESSFplots",49.12958668,-120.8160951,1620,2000,"jpstamp","VACCSCO",5,1,"shrub"
"73","00NCe74","NCBG_ESSFplots",49.12958668,-120.8160951,1620,2000,"jpstamp","VALESIT",8,1,"herb"
"74","00NCe74","NCBG_ESSFplots",49.12958668,-120.8160951,1620,2000,"jpstamp","VERAVIR",0,0,"herb"
"75","00NCe75","NCBG_ESSFplots",49.13184343,-120.8212604,1750,2000,"jpstamp","ABIEAMA",0,0,"tree"
"76","00NCe75","NCBG_ESSFplots",49.13184343,-120.8212604,1750,2000,"jpstamp","ABIELAS",49,1,"tree"
"77","00NCe75","NCBG_ESSFplots",49.13184343,-120.8212604,1750,2000,"jpstamp","AMELALN",0,0,"shrub"
"78","00NCe75","NCBG_ESSFplots",49.13184343,-120.8212604,1750,2000,"jpstamp","ARNILAT",0,0,"herb"
"79","00NCe75","NCBG_ESSFplots",49.13184343,-120.8212604,1750,2000,"jpstamp","CHAMANG",2,1,"herb"
"80","00NCe75","NCBG_ESSFplots",49.13184343,-120.8212604,1750,2000,"jpstamp","CHIMUMB",0,0,"shrub"
"81","00NCe75","NCBG_ESSFplots",49.13184343,-120.8212604,1750,2000,"jpstamp","CLINUNI",0,0,"herb"
"82","00NCe75","NCBG_ESSFplots",49.13184343,-120.8212604,1750,2000,"jpstamp","CORNCAN",0,0,"herb"
"83","00NCe75","NCBG_ESSFplots",49.13184343,-120.8212604,1750,2000,"jpstamp","FRAGVIR",0,0,"herb"
"84","00NCe75","NCBG_ESSFplots",49.13184343,-120.8212604,1750,2000,"jpstamp","GOODOBL",0,0,"herb"
"85","00NCe75","NCBG_ESSFplots",49.13184343,-120.8212604,1750,2000,"jpstamp","HERAMAX",0,0,"herb"
"86","00NCe75","NCBG_ESSFplots",49.13184343,-120.8212604,1750,2000,"jpstamp","LINNBOR",0,0,"shrub"
"87","00NCe75","NCBG_ESSFplots",49.13184343,-120.8212604,1750,2000,"jpstamp","LONIUTA",0,0,"shrub"
"88","00NCe75","NCBG_ESSFplots",49.13184343,-120.8212604,1750,2000,"jpstamp","LUPIARC",25,1,"herb"
"89","00NCe75","NCBG_ESSFplots",49.13184343,-120.8212604,1750,2000,"jpstamp","ORTHSEC",0,0,"herb"
"90","00NCe75","NCBG_ESSFplots",49.13184343,-120.8212604,1750,2000,"jpstamp","PAXIMYR",4,1,"shrub"
"91","00NCe75","NCBG_ESSFplots",49.13184343,-120.8212604,1750,2000,"jpstamp","PHLODIF",0,0,"herb"
"92","00NCe75","NCBG_ESSFplots",49.13184343,-120.8212604,1750,2000,"jpstamp","PICEENG",0.100000001,1,"tree"
"93","00NCe75","NCBG_ESSFplots",49.13184343,-120.8212604,1750,2000,"jpstamp","PINUCON",0,0,"tree"
"94","00NCe75","NCBG_ESSFplots",49.13184343,-120.8212604,1750,2000,"jpstamp","PSEUMEN",0,0,"tree"
"95","00NCe75","NCBG_ESSFplots",49.13184343,-120.8212604,1750,2000,"jpstamp","PYROASA",0,0,"herb"
"96","00NCe75","NCBG_ESSFplots",49.13184343,-120.8212604,1750,2000,"jpstamp","RHODALB",18,1,"shrub"
"97","00NCe75","NCBG_ESSFplots",49.13184343,-120.8212604,1750,2000,"jpstamp","RIBEACE",0.100000001,1,"shrub"
"98","00NCe75","NCBG_ESSFplots",49.13184343,-120.8212604,1750,2000,"jpstamp","RIBELAC",0,0,"shrub"
"99","00NCe75","NCBG_ESSFplots",49.13184343,-120.8212604,1750,2000,"jpstamp","RUBUPAR",0,0,"shrub"
"100","00NCe75","NCBG_ESSFplots",49.13184343,-120.8212604,1750,2000,"jpstamp","RUBUPED",3,1,"herb"
"101","00NCe75","NCBG_ESSFplots",49.13184343,-120.8212604,1750,2000,"jpstamp","SORBSCO",0,0,"shrub"
