"","PlotNumber","Date2025","ProjectID","DateOriginal","SiteSurveyor","Latitude","Longitude","Elevation","RelocationConfidence","Species","Functional_group","Cover"
"1","35079",2025-06-28,"BEC-Vancouver",1979-08-15,NA,49.21568801,-121.026143,736.891357,"Med-High","PSEUMEN","tree",12.25
"2","35079",2025-06-28,"BEC-Vancouver",1979-08-15,NA,49.21568801,-121.026143,736.891357,"Med-High","THUJPLI","tree",52.875
"3","35079",2025-06-28,"BEC-Vancouver",1979-08-15,NA,49.21568801,-121.026143,736.891357,"Med-High","TSUGHET","tree",12.375
"4","35079",2025-06-28,"BEC-Vancouver",1979-08-15,NA,49.21568801,-121.026143,736.891357,"Med-High","TAXUBRE","tree",14.25
"5","35079",2025-06-28,"BEC-Vancouver",1979-08-15,NA,49.21568801,-121.026143,736.891357,"Med-High","ACERGLA","shrub",9.75
"6","35079",2025-06-28,"BEC-Vancouver",1979-08-15,NA,49.21568801,-121.026143,736.891357,"Med-High","ACERCIR","tree",41
"7","35079",2025-06-28,"BEC-Vancouver",1979-08-15,NA,49.21568801,-121.026143,736.891357,"Med-High","RIBELAC","shrub",1.45
"8","35079",2025-06-28,"BEC-Vancouver",1979-08-15,NA,49.21568801,-121.026143,736.891357,"Med-High","VACCPAR","shrub",0.775
"9","35079",2025-06-28,"BEC-Vancouver",1979-08-15,NA,49.21568801,-121.026143,736.891357,"Med-High","LONICIL","shrub",16.6
"10","35079",2025-06-28,"BEC-Vancouver",1979-08-15,NA,49.21568801,-121.026143,736.891357,"Med-High","ROSAGYM","shrub",5.5
"11","35079",2025-06-28,"BEC-Vancouver",1979-08-15,NA,49.21568801,-121.026143,736.891357,"Med-High","AMELALN","shrub",3.425
"12","35079",2025-06-28,"BEC-Vancouver",1979-08-15,NA,49.21568801,-121.026143,736.891357,"Med-High","LONIINV","shrub",0.05
"13","35079",2025-06-28,"BEC-Vancouver",1979-08-15,NA,49.21568801,-121.026143,736.891357,"Med-High","OPLOHOR","shrub",2.1
"14","35079",2025-06-28,"BEC-Vancouver",1979-08-15,NA,49.21568801,-121.026143,736.891357,"Med-High","PAXIMYR","shrub",0.125
"15","35079",2025-06-28,"BEC-Vancouver",1979-08-15,NA,49.21568801,-121.026143,736.891357,"Med-High","RUBUPAR","shrub",0.325
"16","35079",2025-06-28,"BEC-Vancouver",1979-08-15,NA,49.21568801,-121.026143,736.891357,"Med-High","MAHONER","shrub",0.45
"17","35079",2025-06-28,"BEC-Vancouver",1979-08-15,NA,49.21568801,-121.026143,736.891357,"Med-High","SORBSCO","shrub",1.5
"18","35079",2025-06-28,"BEC-Vancouver",1979-08-15,NA,49.21568801,-121.026143,736.891357,"Med-High","VACCMEM","shrub",0.5
"19","35079",2025-06-28,"BEC-Vancouver",1979-08-15,NA,49.21568801,-121.026143,736.891357,"Med-High","CORYCOR","shrub",0.5
"20","35079",2025-06-28,"BEC-Vancouver",1979-08-15,NA,49.21568801,-121.026143,736.891357,"Med-High","VIBUEDU","shrub",0.2
"21","35079",2025-06-28,"BEC-Vancouver",1979-08-15,NA,49.21568801,-121.026143,736.891357,"Med-High","RHODALB","shrub",0.075
"22","35079",2025-06-28,"BEC-Vancouver",1979-08-15,NA,49.21568801,-121.026143,736.891357,"Med-High","CLINUNI","herb",12.75
"23","35079",2025-06-28,"BEC-Vancouver",1979-08-15,NA,49.21568801,-121.026143,736.891357,"Med-High","LINNBOR","shrub",10.5
"24","35079",2025-06-28,"BEC-Vancouver",1979-08-15,NA,49.21568801,-121.026143,736.891357,"Med-High","FRAGVES","herb",0.325
"25","35079",2025-06-28,"BEC-Vancouver",1979-08-15,NA,49.21568801,-121.026143,736.891357,"Med-High","ASARCAU","herb",0.55
"26","35079",2025-06-28,"BEC-Vancouver",1979-08-15,NA,49.21568801,-121.026143,736.891357,"Med-High","TIARTRI","herb",4.9
"27","35079",2025-06-28,"BEC-Vancouver",1979-08-15,NA,49.21568801,-121.026143,736.891357,"Med-High","MAIASTE","herb",2.8
"28","35079",2025-06-28,"BEC-Vancouver",1979-08-15,NA,49.21568801,-121.026143,736.891357,"Med-High","MAIARAC","herb",0.2
"29","35079",2025-06-28,"BEC-Vancouver",1979-08-15,NA,49.21568801,-121.026143,736.891357,"Med-High","PROSHOO","herb",2
"30","35079",2025-06-28,"BEC-Vancouver",1979-08-15,NA,49.21568801,-121.026143,736.891357,"Med-High","ADENBIC","herb",0.05
"31","35079",2025-06-28,"BEC-Vancouver",1979-08-15,NA,49.21568801,-121.026143,736.891357,"Med-High","ARNILAT","herb",0.125
"32","35079",2025-06-28,"BEC-Vancouver",1979-08-15,NA,49.21568801,-121.026143,736.891357,"Med-High","RUBUPED","herb",0.675
"33","35079",2025-06-28,"BEC-Vancouver",1979-08-15,NA,49.21568801,-121.026143,736.891357,"Med-High","OSMOCHI","herb",0.15
"34","35079",2025-06-28,"BEC-Vancouver",1979-08-15,NA,49.21568801,-121.026143,736.891357,"Med-High","CHIMUMB","shrub",0.675
"35","35079",2025-06-28,"BEC-Vancouver",1979-08-15,NA,49.21568801,-121.026143,736.891357,"Med-High","GOODOBL","herb",0.525
"36","35079",2025-06-28,"BEC-Vancouver",1979-08-15,NA,49.21568801,-121.026143,736.891357,"Med-High","ACTARUB","herb",0.125
"37","35079",2025-06-28,"BEC-Vancouver",1979-08-15,NA,49.21568801,-121.026143,736.891357,"Med-High","PYROASA","herb",1.1
"38","35079",2025-06-28,"BEC-Vancouver",1979-08-15,NA,49.21568801,-121.026143,736.891357,"Med-High","GALIAPA","herb",0.85
"39","35079",2025-06-28,"BEC-Vancouver",1979-08-15,NA,49.21568801,-121.026143,736.891357,"Med-High","ORTHSEC","herb",0.275
"40","35079",2025-06-28,"BEC-Vancouver",1979-08-15,NA,49.21568801,-121.026143,736.891357,"Med-High","CHIMMEN","shrub",0.025
"41","35079",2025-06-28,"BEC-Vancouver",1979-08-15,NA,49.21568801,-121.026143,736.891357,"Med-High","CYSTFRA","herb",0.05
"42","35079",2025-06-28,"BEC-Vancouver",1979-08-15,NA,49.21568801,-121.026143,736.891357,"Med-High","ANEMGRA","herb",0.1
"43","35079",2025-06-28,"BEC-Vancouver",1979-08-15,NA,49.21568801,-121.026143,736.891357,"Med-High","CORATRI","herb",0.025
"44","35179",2025-06-10,"BEC-Vancouver",1979-08-14,NA,49.08049897,-120.813113,1246.216553,"High","ABIELAS","tree",7.125
"45","35179",2025-06-10,"BEC-Vancouver",1979-08-14,NA,49.08049897,-120.813113,1246.216553,"High","PICEENG","tree",15.5
"46","35179",2025-06-10,"BEC-Vancouver",1979-08-14,NA,49.08049897,-120.813113,1246.216553,"High","TSUGHET","tree",1.75
"47","35179",2025-06-10,"BEC-Vancouver",1979-08-14,NA,49.08049897,-120.813113,1246.216553,"High","ABIEAMA","tree",0.25
"48","35179",2025-06-10,"BEC-Vancouver",1979-08-14,NA,49.08049897,-120.813113,1246.216553,"High","PAXIMYR","shrub",33
"49","35179",2025-06-10,"BEC-Vancouver",1979-08-14,NA,49.08049897,-120.813113,1246.216553,"High","VACCSCO","shrub",1.525
"50","35179",2025-06-10,"BEC-Vancouver",1979-08-14,NA,49.08049897,-120.813113,1246.216553,"High","VACCMEM","shrub",15.5
"51","35179",2025-06-10,"BEC-Vancouver",1979-08-14,NA,49.08049897,-120.813113,1246.216553,"High","LONIUTA","shrub",11.25
"52","35179",2025-06-10,"BEC-Vancouver",1979-08-14,NA,49.08049897,-120.813113,1246.216553,"High","RIBELAC","shrub",2.5
"53","35179",2025-06-10,"BEC-Vancouver",1979-08-14,NA,49.08049897,-120.813113,1246.216553,"High","AMELALN","shrub",0.475
"54","35179",2025-06-10,"BEC-Vancouver",1979-08-14,NA,49.08049897,-120.813113,1246.216553,"High","RUBUPAR","shrub",1
"55","35179",2025-06-10,"BEC-Vancouver",1979-08-14,NA,49.08049897,-120.813113,1246.216553,"High","LONIINV","shrub",0.375
"56","35179",2025-06-10,"BEC-Vancouver",1979-08-14,NA,49.08049897,-120.813113,1246.216553,"High","RHODALB","shrub",2.25
"57","35179",2025-06-10,"BEC-Vancouver",1979-08-14,NA,49.08049897,-120.813113,1246.216553,"High","JUNICOM","shrub",1.25
"58","35179",2025-06-10,"BEC-Vancouver",1979-08-14,NA,49.08049897,-120.813113,1246.216553,"High","SORBSCO","shrub",0.15
"59","35179",2025-06-10,"BEC-Vancouver",1979-08-14,NA,49.08049897,-120.813113,1246.216553,"High","VIBUEDU","shrub",0.2
"60","35179",2025-06-10,"BEC-Vancouver",1979-08-14,NA,49.08049897,-120.813113,1246.216553,"High","ACERGLA","shrub",0.05
"61","35179",2025-06-10,"BEC-Vancouver",1979-08-14,NA,49.08049897,-120.813113,1246.216553,"High","SORBSIT","shrub",0.175
"62","35179",2025-06-10,"BEC-Vancouver",1979-08-14,NA,49.08049897,-120.813113,1246.216553,"High","ALNUCRI","shrub",5
