"","Species","Functional_group","ProjectID","PlotNumber","SiteSurveyor","Year","YearsSinceStart","RelocationConfidence","Latitude","Longitude","Elevation","present","Cover","Elevation_sc","Time_sc"
"1","ABIEAMA","tree","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,1,120,-0.153072485849284,-0.795393299064723
"2","ABIELAS","tree","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,1,10,-0.153072485849284,-0.795393299064723
"3","AMELALN","shrub","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153072485849284,-0.795393299064723
"4","ARNILAT","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153072485849284,-0.795393299064723
"5","CHAMANG","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153072485849284,-0.795393299064723
"6","CHIMUMB","shrub","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153072485849284,-0.795393299064723
"7","CLINUNI","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153072485849284,-0.795393299064723
"8","CORNCAN","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,1,3,-0.153072485849284,-0.795393299064723
"9","FRAGVIR","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153072485849284,-0.795393299064723
"10","GOODOBL","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153072485849284,-0.795393299064723
"11","HERAMAX","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153072485849284,-0.795393299064723
"12","LINNBOR","shrub","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153072485849284,-0.795393299064723
"13","LONIUTA","shrub","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153072485849284,-0.795393299064723
"14","LUPIARC","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153072485849284,-0.795393299064723
"15","ORTHSEC","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153072485849284,-0.795393299064723
"16","PAXIMYR","shrub","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,1,2,-0.153072485849284,-0.795393299064723
"17","PHLODIF","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153072485849284,-0.795393299064723
"18","PICEENG","tree","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,1,0.100000001,-0.153072485849284,-0.795393299064723
"19","PINUCON","tree","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153072485849284,-0.795393299064723
