"","Species","Functional_group","ProjectID","PlotNumber","SiteSurveyor","Year","YearsSinceStart","RelocationConfidence","Latitude","Longitude","Elevation","present","Cover","Time"
"1","ABIEAMA","tree","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,1,120,"historical"
"2","ABIELAS","tree","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,1,10,"historical"
"3","AMELALN","shrub","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,"historical"
"4","ARNILAT","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,"historical"
"5","CHAMANG","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,"historical"
"6","CHIMUMB","shrub","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,"historical"
"7","CLINUNI","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,"historical"
"8","GOODOBL","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,"historical"
"9","LONIUTA","shrub","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,"historical"
"10","LUPIARC","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,"historical"
"11","ORTHSEC","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,"historical"
"12","PAXIMYR","shrub","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,1,2,"historical"
"13","PICEENG","tree","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,1,0.100000001,"historical"
"14","PINUCON","tree","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,"historical"
"15","PSEUMEN","tree","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,"historical"
"16","PYROASA","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,"historical"
"17","RHODALB","shrub","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,"historical"
"18","RIBEACE","shrub","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,"historical"
"19","RIBELAC","shrub","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,"historical"
"20","RUBUPED","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,1,5,"historical"
"21","SPIRLUC","shrub","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,"historical"
"22","TIARTRI","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,1,0.100000001,"historical"
"23","TSUGHET","tree","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,1,20,"historical"
"24","VACCMEM","shrub","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,1,1,"historical"
"25","VACCSCO","shrub","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,"historical"
"26","VALESIT","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,"historical"
"27","ABIEAMA","tree","NCBG_ESSFplots","00NCe74","jpstamp",2000,24,"Med-High",49.12958668,-120.8160951,1620,1,3,"historical"
"28","ABIELAS","tree","NCBG_ESSFplots","00NCe74","jpstamp",2000,24,"Med-High",49.12958668,-120.8160951,1620,1,22,"historical"
"29","AMELALN","shrub","NCBG_ESSFplots","00NCe74","jpstamp",2000,24,"Med-High",49.12958668,-120.8160951,1620,0,0,"historical"
"30","ARNILAT","herb","NCBG_ESSFplots","00NCe74","jpstamp",2000,24,"Med-High",49.12958668,-120.8160951,1620,1,0.100000001,"historical"
"31","CHAMANG","herb","NCBG_ESSFplots","00NCe74","jpstamp",2000,24,"Med-High",49.12958668,-120.8160951,1620,1,50,"historical"
"32","CHIMUMB","shrub","NCBG_ESSFplots","00NCe74","jpstamp",2000,24,"Med-High",49.12958668,-120.8160951,1620,0,0,"historical"
"33","CLINUNI","herb","NCBG_ESSFplots","00NCe74","jpstamp",2000,24,"Med-High",49.12958668,-120.8160951,1620,1,1,"historical"
"34","GOODOBL","herb","NCBG_ESSFplots","00NCe74","jpstamp",2000,24,"Med-High",49.12958668,-120.8160951,1620,0,0,"historical"
"35","LONIUTA","shrub","NCBG_ESSFplots","00NCe74","jpstamp",2000,24,"Med-High",49.12958668,-120.8160951,1620,1,1,"historical"
"36","LUPIARC","herb","NCBG_ESSFplots","00NCe74","jpstamp",2000,24,"Med-High",49.12958668,-120.8160951,1620,1,5,"historical"
