"","PlotNumber","ANTELAN","ERIGGLA","SILEPAR","PINUALB","LUPIARC","HIERGRA","PHLODIF","LUETPEC","VACCCAE","LUPILEP","VACCSCO","PULSOCC","PEDIBRA","ABIELAS","POTEFLA","PICEENG","VACCMEM","EREMCAP","VACCDEL","ARNILAT","VEROCUS","PHYLEMP","PENSDAV","ERIGAUR","JUNICOM","CASTMIN","CASSMER","CASTPAR","PECTBRE","THALOCC","TROLALB","VALESIT","EPILGLA","VERAVIR","PEDIRAC","DACTVIR","CALTLEP","MICRODO","SENETRI","CHAMANG","RUBUPAR","TIARTRI","STREAMP","RIBELAC","ANTIOCC","STRELAN","LONIINV","EQUIARV","RUBUPED","ANGEGEN","LONIUTA","RHODALB","ACONDEL","HERAMAX","OSMOPUR","LEPTPYR","PARNFIM","PECTPET","PAXIMYR","ABIEAMA","ORTHSEC","HIERSCO","TSUGHET","SPIRLUC","SORBSCO","EUCEENG","AMELALN","PSEUMEN","ARNICOR","PINUCON","GOODOBL","LOMAMAC","ERIOHER","ERIGCOM","SELASCO","POLEPUL","HEUCCYL","PACKCAN","SAXIAUS","PENSFRU","SEDUDIV","ARCTUVA","SEDULAN","SILEINV","AGOSAUR","ARNIPAR","CLAYLAN","PENSPRO","ACHIMIL","HIERUMB","FRAGVIR","SENEINT","POTEGLU","POLYMIN","AGOSGLA","BOECSTR","LOMADIS","RHODINT","ERIOUMB","BOECLYA","ANTERAC","ANTEUMB","HETEVIL","SILEMEN","CEANVEL","DRYMGLA","HIERTRI","TONELYA","ANGEARG","ERYTGRA","HIERALB","LILICOL","SORBSIT","ACONCOL","GALITRF","PYROASA","OSMOCHI","ACTARUB","PLATSTR","CLINUNI","NEOTCOR","SYMPFOL","CLAYPER","ANEMGRA","ATHYFIL","GYMNDRY","RIBEVIS","CHIMUMB","ERIOOVA","DRYMPSE","TARAOFF","ANTEROS","HOLODIS","VACCALA","MOEHMAC","MAHOAQU"
"1","02-3085_2019",8,1,1,2,2,1,1,4,20,1,10,1,1,31,1,6,5,7,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","02-3089_2019",8,1,0,1,1,1,0,10,0,1,5,0,0,27,0,0,0,5,0,2,5,8,1,1,2,1,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","12-2000_2019",0,1,0,0,2,0,0,0,0,0,3,1,1,40,4,48,1,0,0,1,0,0,0,0,0,0,0,0,1,2,3,60,1,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","14-4316_2019",0,30,0,0,0,0,0,0,0,0,0,0,0,49,0,17,8,0,0,7,0,0,0,0,0,0,0,0,0,4,18,45,0,7,0,2,3,15,8,1,2,2,2,4,1,1,3,30,4,3,1,9,1,1,1,2,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","14-4317_2019",0,0,0,0,7,0,0,0,0,0,30,0,0,29,0,23,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,30,2,4,1,3,3,1,3,2,25,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","14-4320_2019",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","14-4386_2019",1,1,1,9,1,0,5,0,0,0,3,2,0,6,0,0,0,12,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","14-4387_2019",1,0,2,6,1,0,5,0,0,0,0,0,0,4,0,5,0,5,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,1,1,1,4,0,1,0,0,0,0,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","14-4388_2019",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,8,0,1,4,39,0,3,1,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","02-3085_2025",2.65,1,0,1,5,0,1,8.5,1,0,10,0,0,8.5,1,5.5,1,1.15,25,0,0,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
