BC_species_code,Latin_name,Functional_group
ABIEAMA,Abies amabilis,tree
ABIEGRA,Abies grandis,tree
ABIELAS,Abies lasiocarpa,tree
ACERCIR,Acer circinatum,tree
ACERGLA,Acer glabrum,shrub
ACHIMIL,Achillea millefolium,herb
ACONDEL,Aconitum delphiniifolium,herb
ACTARUB,Actaea rubra,herb
AGOSAUR,Agoseris aurantiaca,herb
AGOSGLA,Agoseris glauca,herb
ALECOCH,Alectoria ochroleuca,lichen
ALECSAR,Alectoria sarmentosa,lichen
ALNUALN,Alnus alnobetula,tree
ALNUINC,Alnus incana,tree
ALNURUB,Alnus rubra,tree
AMELALN,Amelanchier alnifolia,shrub
ANAPMAR,Anaphalis margaritacea,herb
ANGEARG,Angelica arguta,herb
ANGEGEN,Angelica genuflexa,herb
ANTEALP,Antennaria alpina,herb
ANTELAN,Antennaria lanata,herb
ANTENEG,Antennaria neglecta,herb
ANTERAC,Antennaria racemosa,herb
ANTEROS,Antennaria rosea,herb
ANTEUMB,Antennaria umbrinella,herb
ANTIOCC,Anticlea occidentalis,herb
AQUIFOR,Aquilegia formosa,herb
ARCTUVA,Arctostaphylos uva-ursi,shrub
ARENARIA SP.,Arenaria spp.,herb
ARNICA,Arnica sp.,herb
ARNICOR,Arnica cordifolia,herb
ARNILAT,Arnica latifolia,herb
ARNIPAR,Arnica parryi,herb
ARNIRYD,Arnica rydbergii,herb
ASARCAU,Asarum caudatum,herb
ASTER SP.,Aster spp.,herb
ASTRALP,Astragalus alpinus,herb
ATHYFIL,Athyrium filix-femina,herb
ATRISEL,Atrichum selwynii,moss
AULAPAL,Aulacomnium palustre,moss
BARBLYC,Barbilophozia lycopodioides,moss
BISTVIV,Bistorta vivipara,herb
BLEPARA,Blepharostoma arachnoideum,moss
BLEPTRI,Blepharostoma trichophyllum,moss
BOECLYA,Boechera lyallii,herb
BOECSTR,Boechera stricta,herb
BRACALB,Brachythecium albicans,moss
BRACERY,Brachythecium erythrorrhizon,moss
BRACFRI,Brachythecium frigidum,moss
BRACHYTHECIUM SP.,Brachythecium sp.,moss
BRACLEI,Brachythecium leibergii,moss
BRACRIV,Brachythecium rivulare,moss
BRACSAL,Brachythecium salebrosum,moss
BRACVEL,Brachythecium velutinum,moss
BROMCAR,Bromus carinatus,grass
BROMSIT,Bromus sitchensis,grass
CALACAN,Calamagrostis canadensis,grass
CALAMAGROTIS SP.,Calamagrostis spp.,grass
CALAPUR,Calamagrostis purpurascens,grass
CALARUB,Calamagrostis rubescens,grass
CALTLEP,Caltha leptosepala,herb
CALYAZU,Calypogeia azurea,moss
CANAMOD,Canadanthus modestus,herb
CAREALB,Carex albonigra,grass
CARELAE,Carex laeviculmis,grass
CAREMER,Carex mertensii,grass
CAREMIP,Carex micropoda,grass
CARENAR,Carex nardina,grass
CARENIG,Carex nigricans,grass
CAREPHA,Carex phaeocephala,grass
CAREROS,Carex rossii,grass
CARESCI,Carex scirpoidea,grass
CARESPE,Carex spectabilis,grass
CAREX SP.,Carex spp.,grass
CASSMER,Cassiope mertensiana,shrub
CASTMIN,Castilleja miniata,herb
CASTPAR,Castilleja parviflora,herb
CASTRHE,Castilleja rhexiifolia,herb
CEANVEL,Ceanothus velutinus,shrub
CEPHALOZIA SP.,Cephalozia spp.,moss
CERAPUR,Ceratodon purpureus,moss
CETRISL,Cetraria islandica,lichen
CHAMANG,Chamerion angustifolium,herb
CHILPAL,Chiloscyphus pallescens,moss
CHIMMEN,Chimaphila menziesii,shrub
CHIMUMB,Chimaphila umbellata,shrub
CIRSIUM SP.,Cirsium spp.,herb
CLADCHL,Cladonia chlorophaea,lichen
CLADCOR,Cladonia cornuta,lichen
