PlotNumber,Date2025,ProjectID,DateOriginal,SiteSurveyor,2019Plot,ErrorPlot,WaypointNumber,Latitude,Longitude,Elevation,SlopeGradient,Aspect,MesoSlopePosition,SurfaceShape,Photo,RelocationConfidence,SiteNotes,CanopyCoverQ1,CanopyCoverQ2,CanopyCoverQ3,CanopyCoverQ4,AverageCanopyCover,Species,CoverAQ1,CoverAQ2,CoverAQ3,CoverAQ4,AverageCoverA,CoverB1Q1,CoverB1Q2,CoverB1Q3,CoverB1Q4,AverageCoverB1,CoverB2Q1,CoverB2Q2,CoverB2Q3,CoverB2Q4,AverageCoverB2,TotalBQ1,TotalBQ2,TotalBQ3,TotalBQ4,AverageTotalB,CoverCQ1,CoverCQ2,CoverCQ3,CoverCQ4,AverageCoverC,MossCoverQ1,MossCoverQ2,MossCoverQ3,MossCoverQ4,AverageMossCover,GrassCoverQ1,GrassCoverQ2,GrassCoverQ3,GrassCoverQ4,AverageGrassCover,VegNotes
35079,2025-06-28,BEC-Vancouver,1979-08-15,NA,N,N,213,49.21568801,-121.026143,736.891357,0,999,LV,ST,Y,Med-High,"Relocation confidence: Med-high. Followed directions provided by the original surveyors to a flood plain area that matched the description. Very wet area, tree composition match/ slope/ aspect/ elevation. Lat/long incorrect but they did not match the very specific directions provided. Lots of tree fall, few populus standing dead, some old growth trees. Dense herb layer, slightly dense shrub layer.",29,90,55,39,53.25,PSEUMEN,9,10,18,12,12.25,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,65,35,20,70,47.5,0,0,0,0,0,
35079,2025-06-28,BEC-Vancouver,1979-08-15,NA,N,N,213,49.21568801,-121.026143,736.891357,0,999,LV,ST,Y,Med-High,"Relocation confidence: Med-high. Followed directions provided by the original surveyors to a flood plain area that matched the description. Very wet area, tree composition match/ slope/ aspect/ elevation. Lat/long incorrect but they did not match the very specific directions provided. Lots of tree fall, few populus standing dead, some old growth trees. Dense herb layer, slightly dense shrub layer.",29,90,55,39,53.25,THUJPLI,20,85,40,27,43,0,0,17,18,8.75,0.5,2,2,0,1.125,,,,,,,,,,,65,35,20,70,47.5,0,0,0,0,0,
35079,2025-06-28,BEC-Vancouver,1979-08-15,NA,N,N,213,49.21568801,-121.026143,736.891357,0,999,LV,ST,Y,Med-High,"Relocation confidence: Med-high. Followed directions provided by the original surveyors to a flood plain area that matched the description. Very wet area, tree composition match/ slope/ aspect/ elevation. Lat/long incorrect but they did not match the very specific directions provided. Lots of tree fall, few populus standing dead, some old growth trees. Dense herb layer, slightly dense shrub layer.",29,90,55,39,53.25,TSUGHET,0,1,0,0,0.25,5,0,15,10,7.5,10,0.5,1,7,4.625,,,,,,,,,,,65,35,20,70,47.5,0,0,0,0,0,
35079,2025-06-28,BEC-Vancouver,1979-08-15,NA,N,N,213,49.21568801,-121.026143,736.891357,0,999,LV,ST,Y,Med-High,"Relocation confidence: Med-high. Followed directions provided by the original surveyors to a flood plain area that matched the description. Very wet area, tree composition match/ slope/ aspect/ elevation. Lat/long incorrect but they did not match the very specific directions provided. Lots of tree fall, few populus standing dead, some old growth trees. Dense herb layer, slightly dense shrub layer.",29,90,55,39,53.25,TAXUBRE,,,,,,,,,,,,,,,,25,25,6,1,14.25,,,,,,65,35,20,70,47.5,0,0,0,0,0,
35079,2025-06-28,BEC-Vancouver,1979-08-15,NA,N,N,213,49.21568801,-121.026143,736.891357,0,999,LV,ST,Y,Med-High,"Relocation confidence: Med-high. Followed directions provided by the original surveyors to a flood plain area that matched the description. Very wet area, tree composition match/ slope/ aspect/ elevation. Lat/long incorrect but they did not match the very specific directions provided. Lots of tree fall, few populus standing dead, some old growth trees. Dense herb layer, slightly dense shrub layer.",29,90,55,39,53.25,ACERGLA,,,,,,,,,,,,,,,,10,18,0,11,9.75,,,,,,65,35,20,70,47.5,0,0,0,0,0,
35079,2025-06-28,BEC-Vancouver,1979-08-15,NA,N,N,213,49.21568801,-121.026143,736.891357,0,999,LV,ST,Y,Med-High,"Relocation confidence: Med-high. Followed directions provided by the original surveyors to a flood plain area that matched the description. Very wet area, tree composition match/ slope/ aspect/ elevation. Lat/long incorrect but they did not match the very specific directions provided. Lots of tree fall, few populus standing dead, some old growth trees. Dense herb layer, slightly dense shrub layer.",29,90,55,39,53.25,ACERCIR,,,,,,,,,,,,,,,,11,28,50,75,41,,,,,,65,35,20,70,47.5,0,0,0,0,0,
35079,2025-06-28,BEC-Vancouver,1979-08-15,NA,N,N,213,49.21568801,-121.026143,736.891357,0,999,LV,ST,Y,Med-High,"Relocation confidence: Med-high. Followed directions provided by the original surveyors to a flood plain area that matched the description. Very wet area, tree composition match/ slope/ aspect/ elevation. Lat/long incorrect but they did not match the very specific directions provided. Lots of tree fall, few populus standing dead, some old growth trees. Dense herb layer, slightly dense shrub layer.",29,90,55,39,53.25,RIBELAC,,,,,,,,,,,,,,,,3,2,0.5,0.3,1.45,,,,,,65,35,20,70,47.5,0,0,0,0,0,
35079,2025-06-28,BEC-Vancouver,1979-08-15,NA,N,N,213,49.21568801,-121.026143,736.891357,0,999,LV,ST,Y,Med-High,"Relocation confidence: Med-high. Followed directions provided by the original surveyors to a flood plain area that matched the description. Very wet area, tree composition match/ slope/ aspect/ elevation. Lat/long incorrect but they did not match the very specific directions provided. Lots of tree fall, few populus standing dead, some old growth trees. Dense herb layer, slightly dense shrub layer.",29,90,55,39,53.25,VACCPAR,,,,,,,,,,,,,,,,0.8,0,0.3,2,0.775,,,,,,65,35,20,70,47.5,0,0,0,0,0,
35079,2025-06-28,BEC-Vancouver,1979-08-15,NA,N,N,213,49.21568801,-121.026143,736.891357,0,999,LV,ST,Y,Med-High,"Relocation confidence: Med-high. Followed directions provided by the original surveyors to a flood plain area that matched the description. Very wet area, tree composition match/ slope/ aspect/ elevation. Lat/long incorrect but they did not match the very specific directions provided. Lots of tree fall, few populus standing dead, some old growth trees. Dense herb layer, slightly dense shrub layer.",29,90,55,39,53.25,LONICIL,,,,,,,,,,,,,,,,55,11,0.1,0.3,16.6,,,,,,65,35,20,70,47.5,0,0,0,0,0,
35079,2025-06-28,BEC-Vancouver,1979-08-15,NA,N,N,213,49.21568801,-121.026143,736.891357,0,999,LV,ST,Y,Med-High,"Relocation confidence: Med-high. Followed directions provided by the original surveyors to a flood plain area that matched the description. Very wet area, tree composition match/ slope/ aspect/ elevation. Lat/long incorrect but they did not match the very specific directions provided. Lots of tree fall, few populus standing dead, some old growth trees. Dense herb layer, slightly dense shrub layer.",29,90,55,39,53.25,ROSAGYM,,,,,,,,,,,,,,,,9,11,1,1,5.5,,,,,,65,35,20,70,47.5,0,0,0,0,0,
