BC_species_code,Latin_name,Functional_group
ABIEAMA,Abies amabilis,tree
ABIEGRA,Abies grandis,tree
ABIELAS,Abies lasiocarpa,tree
ACERCIR,Acer circinatum,tree
ACERGLA,Acer glabrum,shrub
ACHIMIL,Achillea millefolium,herb
ACONCOL,Aconitum columbianum,herb
ACTARUB,Actaea rubra,herb
ADENBIC,Adenocaulon bicolor,herb
AGOSAUR,Agoseris aurantiaca,herb
ALNUCRI,Alnus crispa,shrub
ALNUINC,Alnus incana,tree
AMELALN,Amelanchier alnifolia,shrub
ANAPMAR,Anaphalis margaritacea,herb
ANEMGRA,Anemonoides grayi,herb
ANGEARG,Angelica arguta,herb
ANGEGEN,Angelica genuflexa,herb
ANTEALP,Antennaria alpina,herb
ANTELAN,Antennaria lanata,herb
ANTENARIA SP.,Antenaria spp.,herb
ANTERAC,Antennaria racemosa,herb
ANTEROS,Antennaria rosea,herb
ANTIOCC,Anticlea occidentalis,herb
AQUIFOR,Aquilegia formosa,herb
ARCTUVA,Arctostaphylos uva-ursi,shrub
ARENCAP,Arenaria capillaris,herb
ARNICOR,Arnica cordifolia,herb
ARNILAT,Arnica latifolia,herb
ARNIMOL,Arnica mollis,herb
ARNIPAR,Arnica parryi,herb
ASARCAU,Asarum caudatum,herb
ASTERACEAE SP.,Asteraceae spp.,herb
ATHYFIL,Athyrium filix-femina,herb
BEUCHERA SP.,Beuchera spp.,herb
BISTVIV,Bistorta vivipara,herb
BOECSTR,Boechera stricta,herb
CALTHA SP.,Caltha spp.,herb
CASSMER,Cassiope mertensiana,shrub
CASTELLIJA SP.,Castellija spp.,herb
CASTPAR,Castilleja parviflora,herb
CEANVEL,Ceanothus velutinus,shrub
CHAMANG,Chamerion angustifolium,herb
CHAMLAT,Chamerion latifolium,herb
CHIMMEN,Chimaphila menziesii,shrub
CHIMUMB,Chimaphila umbellata,shrub
CIRSEDU,Cirsium edule,herb
CIRSIUM SP.,Cirsium spp.,herb
CLAYPER,Claytonia perfoliata,herb
CLINUNI,Clintonia uniflora,herb
CORATRI,Corallorhiza trifida,herb
CORNCAN,Cornus canadensis,herb
CORNSER,Cornus sericea,shrub
CORYCOR,Corylus cornuta,shrub
CYSTFRA,Cystopteris fragilis,herb
DRABA SP.,Draba spp.,herb
DRYAOCT,Dryas octopetala,shrub
DRYMGLA,Drymocallis glandulosa,herb
DRYMPSE,Drymocallis pseudorupestris,herb
EMPENIG,Empetrum nigrum,shrub
EPILCIL,Epilobium ciliatum,herb
EPILGLA,Epilobium glaberrimum,herb
EPILLEP,Epilobium leptocarpum,herb
EQUIARV,Equisetum arvense,herb
EQUIBRA,Equisetum braunii,herb
EQUISETUM SP.,Equisetum spp.,herb
EREMCAP,Eremogone capillaris,herb
ERIGAUR,Erigeron aureus,herb
ERIGCOM,Erigeron compositus,herb
ERIGGLA,Erigeron glabellus,herb
ERIOOVA,Eriogonum ovalifolium,herb
ERIOUMB,Eriogonum umbellatum,herb
ERYTGRA,Erythronium grandiflorum,herb
EURYCON,Eurybia conspicua,herb
FIGWORT SP.,Figwort spp.,herb
FRAGVES,Fragaria vesca,herb
FRAGVIR,Fragaria virginiana,herb
GALIAPA,Galium aparine,herb
GALITRF,Galium triflorum,herb
GAULOVA,Gaultheria ovatifolia,shrub
GENTAMA,Gentianella amarella,herb
GOODOBL,Goodyera oblongifolia,herb
GYMNDRY,Gymnocarpium dryopteris,herb
HERAMAX,Heracleum maximum,herb
HEUCCYL,Heuchera cylindrica,herb
HIERACIUM SP.,Hieracium spp.,herb
HIERALB,Hiracium albiflorum,herb
HIERTRI,Hieracium triste,herb
HIERUMB,Hieracium umbellatum,herb
