"","PlotNumber","ProjectID","Latitude","Longitude","Elevation","Year","SiteSurveyor","RelocationConfidence","Species","...1","Cover","present","Functional_group","YearsSinceStart"
"1","00NCe73","Manning Park Project 2025",49.12277997,-120.820074,1459.460205,2025,"CML RNW","Med-High","ABIEAMA",289,93.75,1,"tree",49
"2","00NCe73","Manning Park Project 2025",49.12277997,-120.820074,1459.460205,2025,"CML RNW","Med-High","ABIELAS",290,2,1,"tree",49
"3","00NCe73","Manning Park Project 2025",49.12277997,-120.820074,1459.460205,2025,"CML RNW","Med-High","AMELALN",NA,0,0,"shrub",49
"4","00NCe73","Manning Park Project 2025",49.12277997,-120.820074,1459.460205,2025,"CML RNW","Med-High","ARNILAT",309,0.075,1,"herb",49
"5","00NCe73","Manning Park Project 2025",49.12277997,-120.820074,1459.460205,2025,"CML RNW","Med-High","CHAMANG",NA,0,0,"herb",49
"6","00NCe73","Manning Park Project 2025",49.12277997,-120.820074,1459.460205,2025,"CML RNW","Med-High","CHIMUMB",306,0.25,1,"shrub",49
"7","00NCe73","Manning Park Project 2025",49.12277997,-120.820074,1459.460205,2025,"CML RNW","Med-High","CLINUNI",NA,0,0,"herb",49
"8","00NCe73","Manning Park Project 2025",49.12277997,-120.820074,1459.460205,2025,"CML RNW","Med-High","CORNCAN",302,1.025,1,"herb",49
"9","00NCe73","Manning Park Project 2025",49.12277997,-120.820074,1459.460205,2025,"CML RNW","Med-High","GOODOBL",NA,0,0,"herb",49
"10","00NCe73","Manning Park Project 2025",49.12277997,-120.820074,1459.460205,2025,"CML RNW","Med-High","LONIUTA",300,0.375,1,"shrub",49
"11","00NCe73","Manning Park Project 2025",49.12277997,-120.820074,1459.460205,2025,"CML RNW","Med-High","LUPIARC",NA,0,0,"herb",49
"12","00NCe73","Manning Park Project 2025",49.12277997,-120.820074,1459.460205,2025,"CML RNW","Med-High","ORTHSEC",NA,0,0,"herb",49
"13","00NCe73","Manning Park Project 2025",49.12277997,-120.820074,1459.460205,2025,"CML RNW","Med-High","PAXIMYR",296,0.2,1,"shrub",49
"14","00NCe73","Manning Park Project 2025",49.12277997,-120.820074,1459.460205,2025,"CML RNW","Med-High","PICEENG",292,6.625,1,"tree",49
"15","00NCe73","Manning Park Project 2025",49.12277997,-120.820074,1459.460205,2025,"CML RNW","Med-High","PINUCON",NA,0,0,"tree",49
"16","00NCe73","Manning Park Project 2025",49.12277997,-120.820074,1459.460205,2025,"CML RNW","Med-High","PSEUMEN",NA,0,0,"tree",49
"17","00NCe73","Manning Park Project 2025",49.12277997,-120.820074,1459.460205,2025,"CML RNW","Med-High","PYROASA",NA,0,0,"herb",49
"18","00NCe73","Manning Park Project 2025",49.12277997,-120.820074,1459.460205,2025,"CML RNW","Med-High","RHODALB",293,1.25,1,"shrub",49
"19","00NCe73","Manning Park Project 2025",49.12277997,-120.820074,1459.460205,2025,"CML RNW","Med-High","RIBEACE",299,0.05,1,"shrub",49
"20","00NCe73","Manning Park Project 2025",49.12277997,-120.820074,1459.460205,2025,"CML RNW","Med-High","RIBELAC",297,0.225,1,"shrub",49
"21","00NCe73","Manning Park Project 2025",49.12277997,-120.820074,1459.460205,2025,"CML RNW","Med-High","RUBUPAR",NA,0,0,"shrub",49
"22","00NCe73","Manning Park Project 2025",49.12277997,-120.820074,1459.460205,2025,"CML RNW","Med-High","RUBUPED",305,0.95,1,"herb",49
"23","00NCe73","Manning Park Project 2025",49.12277997,-120.820074,1459.460205,2025,"CML RNW","Med-High","SORBSCO",NA,0,0,"shrub",49
"24","00NCe73","Manning Park Project 2025",49.12277997,-120.820074,1459.460205,2025,"CML RNW","Med-High","SORBSIT",301,0.1,1,"shrub",49
"25","00NCe73","Manning Park Project 2025",49.12277997,-120.820074,1459.460205,2025,"CML RNW","Med-High","SPIRLUC",NA,0,0,"shrub",49
"26","00NCe73","Manning Park Project 2025",49.12277997,-120.820074,1459.460205,2025,"CML RNW","Med-High","TIARTRI",304,0.175,1,"herb",49
"27","00NCe73","Manning Park Project 2025",49.12277997,-120.820074,1459.460205,2025,"CML RNW","Med-High","TSUGHET",291,15.25,1,"tree",49
"28","00NCe73","Manning Park Project 2025",49.12277997,-120.820074,1459.460205,2025,"CML RNW","Med-High","VACCMEM",295,0.8,1,"shrub",49
"29","00NCe73","Manning Park Project 2025",49.12277997,-120.820074,1459.460205,2025,"CML RNW","Med-High","VACCSCO",NA,0,0,"shrub",49
"30","00NCe73","Manning Park Project 2025",49.12277997,-120.820074,1459.460205,2025,"CML RNW","Med-High","VALESIT",303,0.375,1,"herb",49
"31","00NCe74","Manning Park Project 2025",49.12966101,-120.816088,1661.301636,2025,"CML RNW","Med-High","ABIEAMA",NA,0,0,"tree",49
"32","00NCe74","Manning Park Project 2025",49.12966101,-120.816088,1661.301636,2025,"CML RNW","Med-High","ABIELAS",310,47,1,"tree",49
"33","00NCe74","Manning Park Project 2025",49.12966101,-120.816088,1661.301636,2025,"CML RNW","Med-High","AMELALN",NA,0,0,"shrub",49
"34","00NCe74","Manning Park Project 2025",49.12966101,-120.816088,1661.301636,2025,"CML RNW","Med-High","ARNILAT",327,3.5,1,"herb",49
"35","00NCe74","Manning Park Project 2025",49.12966101,-120.816088,1661.301636,2025,"CML RNW","Med-High","CHAMANG",329,0.5,1,"herb",49
"36","00NCe74","Manning Park Project 2025",49.12966101,-120.816088,1661.301636,2025,"CML RNW","Med-High","CHIMUMB",NA,0,0,"shrub",49
"37","00NCe74","Manning Park Project 2025",49.12966101,-120.816088,1661.301636,2025,"CML RNW","Med-High","CLINUNI",332,3.25,1,"herb",49
"38","00NCe74","Manning Park Project 2025",49.12966101,-120.816088,1661.301636,2025,"CML RNW","Med-High","CORNCAN",NA,0,0,"herb",49
"39","00NCe74","Manning Park Project 2025",49.12966101,-120.816088,1661.301636,2025,"CML RNW","Med-High","GOODOBL",343,0.075,1,"herb",49
"40","00NCe74","Manning Park Project 2025",49.12966101,-120.816088,1661.301636,2025,"CML RNW","Med-High","LONIUTA",318,0.8,1,"shrub",49
"41","00NCe74","Manning Park Project 2025",49.12966101,-120.816088,1661.301636,2025,"CML RNW","Med-High","LUPIARC",328,1.25,1,"herb",49
"42","00NCe74","Manning Park Project 2025",49.12966101,-120.816088,1661.301636,2025,"CML RNW","Med-High","ORTHSEC",347,0.075,1,"herb",49
"43","00NCe74","Manning Park Project 2025",49.12966101,-120.816088,1661.301636,2025,"CML RNW","Med-High","PAXIMYR",316,8,1,"shrub",49
"44","00NCe74","Manning Park Project 2025",49.12966101,-120.816088,1661.301636,2025,"CML RNW","Med-High","PICEENG",311,5.5,1,"tree",49
"45","00NCe74","Manning Park Project 2025",49.12966101,-120.816088,1661.301636,2025,"CML RNW","Med-High","PINUCON",312,0.25,1,"tree",49
"46","00NCe74","Manning Park Project 2025",49.12966101,-120.816088,1661.301636,2025,"CML RNW","Med-High","PSEUMEN",NA,0,0,"tree",49
"47","00NCe74","Manning Park Project 2025",49.12966101,-120.816088,1661.301636,2025,"CML RNW","Med-High","PYROASA",NA,0,0,"herb",49
"48","00NCe74","Manning Park Project 2025",49.12966101,-120.816088,1661.301636,2025,"CML RNW","Med-High","RHODALB",321,0.275,1,"shrub",49
"49","00NCe74","Manning Park Project 2025",49.12966101,-120.816088,1661.301636,2025,"CML RNW","Med-High","RIBEACE",NA,0,0,"shrub",49
"50","00NCe74","Manning Park Project 2025",49.12966101,-120.816088,1661.301636,2025,"CML RNW","Med-High","RIBELAC",317,2.5,1,"shrub",49
"51","00NCe74","Manning Park Project 2025",49.12966101,-120.816088,1661.301636,2025,"CML RNW","Med-High","RUBUPAR",315,19.75,1,"shrub",49
"52","00NCe74","Manning Park Project 2025",49.12966101,-120.816088,1661.301636,2025,"CML RNW","Med-High","RUBUPED",NA,0,0,"herb",49
"53","00NCe74","Manning Park Project 2025",49.12966101,-120.816088,1661.301636,2025,"CML RNW","Med-High","SORBSCO",324,0.075,1,"shrub",49
"54","00NCe74","Manning Park Project 2025",49.12966101,-120.816088,1661.301636,2025,"CML RNW","Med-High","SORBSIT",NA,0,0,"shrub",49
