"","PlotNumber","ProjectID","Latitude","Longitude","Elevation","Year","SiteSurveyor","RelocationConfidence","Species","Cover","present","Functional_group"
"1","00NCe73","NCBG_ESSFplots",49.12277997,-120.820074,1459.460205,2025,"jpstamp","Med-High","ABIEAMA",93.75,1,"tree"
"2","00NCe73","NCBG_ESSFplots",49.12277997,-120.820074,1459.460205,2025,"jpstamp","Med-High","ABIELAS",2,1,"tree"
"3","00NCe73","NCBG_ESSFplots",49.12277997,-120.820074,1459.460205,2025,"jpstamp","Med-High","AMELALN",0,0,"shrub"
"4","00NCe73","NCBG_ESSFplots",49.12277997,-120.820074,1459.460205,2025,"jpstamp","Med-High","ARNILAT",0.075,1,"herb"
"5","00NCe73","NCBG_ESSFplots",49.12277997,-120.820074,1459.460205,2025,"jpstamp","Med-High","CHAMANG",0,0,"herb"
"6","00NCe73","NCBG_ESSFplots",49.12277997,-120.820074,1459.460205,2025,"jpstamp","Med-High","CHIMUMB",0.25,1,"shrub"
"7","00NCe73","NCBG_ESSFplots",49.12277997,-120.820074,1459.460205,2025,"jpstamp","Med-High","CLINUNI",0,0,"herb"
"8","00NCe73","NCBG_ESSFplots",49.12277997,-120.820074,1459.460205,2025,"jpstamp","Med-High","CORNCAN",1.025,1,"herb"
"9","00NCe73","NCBG_ESSFplots",49.12277997,-120.820074,1459.460205,2025,"jpstamp","Med-High","FRAGVIR",0,0,"herb"
"10","00NCe73","NCBG_ESSFplots",49.12277997,-120.820074,1459.460205,2025,"jpstamp","Med-High","GOODOBL",0,0,"herb"
"11","00NCe73","NCBG_ESSFplots",49.12277997,-120.820074,1459.460205,2025,"jpstamp","Med-High","HERAMAX",0,0,"herb"
"12","00NCe73","NCBG_ESSFplots",49.12277997,-120.820074,1459.460205,2025,"jpstamp","Med-High","LINNBOR",0,0,"shrub"
"13","00NCe73","NCBG_ESSFplots",49.12277997,-120.820074,1459.460205,2025,"jpstamp","Med-High","LONIUTA",0.375,1,"shrub"
"14","00NCe73","NCBG_ESSFplots",49.12277997,-120.820074,1459.460205,2025,"jpstamp","Med-High","LUPIARC",0,0,"herb"
"15","00NCe73","NCBG_ESSFplots",49.12277997,-120.820074,1459.460205,2025,"jpstamp","Med-High","ORTHSEC",0,0,"herb"
"16","00NCe73","NCBG_ESSFplots",49.12277997,-120.820074,1459.460205,2025,"jpstamp","Med-High","PAXIMYR",0.2,1,"shrub"
"17","00NCe73","NCBG_ESSFplots",49.12277997,-120.820074,1459.460205,2025,"jpstamp","Med-High","PHLODIF",0,0,"herb"
"18","00NCe73","NCBG_ESSFplots",49.12277997,-120.820074,1459.460205,2025,"jpstamp","Med-High","PICEENG",6.625,1,"tree"
"19","00NCe73","NCBG_ESSFplots",49.12277997,-120.820074,1459.460205,2025,"jpstamp","Med-High","PINUCON",0,0,"tree"
"20","00NCe73","NCBG_ESSFplots",49.12277997,-120.820074,1459.460205,2025,"jpstamp","Med-High","PSEUMEN",0,0,"tree"
"21","00NCe73","NCBG_ESSFplots",49.12277997,-120.820074,1459.460205,2025,"jpstamp","Med-High","PYROASA",0,0,"herb"
"22","00NCe73","NCBG_ESSFplots",49.12277997,-120.820074,1459.460205,2025,"jpstamp","Med-High","RHODALB",1.25,1,"shrub"
"23","00NCe73","NCBG_ESSFplots",49.12277997,-120.820074,1459.460205,2025,"jpstamp","Med-High","RIBEACE",0.05,1,"shrub"
"24","00NCe73","NCBG_ESSFplots",49.12277997,-120.820074,1459.460205,2025,"jpstamp","Med-High","RIBELAC",0.225,1,"shrub"
"25","00NCe73","NCBG_ESSFplots",49.12277997,-120.820074,1459.460205,2025,"jpstamp","Med-High","RUBUPAR",0,0,"shrub"
"26","00NCe73","NCBG_ESSFplots",49.12277997,-120.820074,1459.460205,2025,"jpstamp","Med-High","RUBUPED",0.95,1,"herb"
"27","00NCe73","NCBG_ESSFplots",49.12277997,-120.820074,1459.460205,2025,"jpstamp","Med-High","SORBSCO",0,0,"shrub"
"28","00NCe73","NCBG_ESSFplots",49.12277997,-120.820074,1459.460205,2025,"jpstamp","Med-High","SORBSIT",0.1,1,"shrub"
"29","00NCe73","NCBG_ESSFplots",49.12277997,-120.820074,1459.460205,2025,"jpstamp","Med-High","SPIRLUC",0,0,"shrub"
"30","00NCe73","NCBG_ESSFplots",49.12277997,-120.820074,1459.460205,2025,"jpstamp","Med-High","THALOCC",0,0,"herb"
"31","00NCe73","NCBG_ESSFplots",49.12277997,-120.820074,1459.460205,2025,"jpstamp","Med-High","THUJPLI",0,0,"tree"
"32","00NCe73","NCBG_ESSFplots",49.12277997,-120.820074,1459.460205,2025,"jpstamp","Med-High","TIARTRI",0.175,1,"herb"
"33","00NCe73","NCBG_ESSFplots",49.12277997,-120.820074,1459.460205,2025,"jpstamp","Med-High","TSUGHET",15.25,1,"tree"
"34","00NCe73","NCBG_ESSFplots",49.12277997,-120.820074,1459.460205,2025,"jpstamp","Med-High","VACCMEM",0.8,1,"shrub"
"35","00NCe73","NCBG_ESSFplots",49.12277997,-120.820074,1459.460205,2025,"jpstamp","Med-High","VACCSCO",0,0,"shrub"
"36","00NCe73","NCBG_ESSFplots",49.12277997,-120.820074,1459.460205,2025,"jpstamp","Med-High","VALESIT",0.375,1,"herb"
"37","00NCe73","NCBG_ESSFplots",49.12277997,-120.820074,1459.460205,2025,"jpstamp","Med-High","VERAVIR",0,0,"herb"
"38","00NCe74","NCBG_ESSFplots",49.12966101,-120.816088,1661.301636,2025,"jpstamp","Med-High","ABIEAMA",0,0,"tree"
"39","00NCe74","NCBG_ESSFplots",49.12966101,-120.816088,1661.301636,2025,"jpstamp","Med-High","ABIELAS",47,1,"tree"
"40","00NCe74","NCBG_ESSFplots",49.12966101,-120.816088,1661.301636,2025,"jpstamp","Med-High","AMELALN",0,0,"shrub"
"41","00NCe74","NCBG_ESSFplots",49.12966101,-120.816088,1661.301636,2025,"jpstamp","Med-High","ARNILAT",3.5,1,"herb"
"42","00NCe74","NCBG_ESSFplots",49.12966101,-120.816088,1661.301636,2025,"jpstamp","Med-High","CHAMANG",0.5,1,"herb"
"43","00NCe74","NCBG_ESSFplots",49.12966101,-120.816088,1661.301636,2025,"jpstamp","Med-High","CHIMUMB",0,0,"shrub"
"44","00NCe74","NCBG_ESSFplots",49.12966101,-120.816088,1661.301636,2025,"jpstamp","Med-High","CLINUNI",3.25,1,"herb"
"45","00NCe74","NCBG_ESSFplots",49.12966101,-120.816088,1661.301636,2025,"jpstamp","Med-High","CORNCAN",0,0,"herb"
"46","00NCe74","NCBG_ESSFplots",49.12966101,-120.816088,1661.301636,2025,"jpstamp","Med-High","FRAGVIR",0.25,1,"herb"
"47","00NCe74","NCBG_ESSFplots",49.12966101,-120.816088,1661.301636,2025,"jpstamp","Med-High","GOODOBL",0.075,1,"herb"
"48","00NCe74","NCBG_ESSFplots",49.12966101,-120.816088,1661.301636,2025,"jpstamp","Med-High","HERAMAX",0,0,"herb"
"49","00NCe74","NCBG_ESSFplots",49.12966101,-120.816088,1661.301636,2025,"jpstamp","Med-High","LINNBOR",0,0,"shrub"
"50","00NCe74","NCBG_ESSFplots",49.12966101,-120.816088,1661.301636,2025,"jpstamp","Med-High","LONIUTA",0.8,1,"shrub"
"51","00NCe74","NCBG_ESSFplots",49.12966101,-120.816088,1661.301636,2025,"jpstamp","Med-High","LUPIARC",1.25,1,"herb"
"52","00NCe74","NCBG_ESSFplots",49.12966101,-120.816088,1661.301636,2025,"jpstamp","Med-High","ORTHSEC",0.075,1,"herb"
"53","00NCe74","NCBG_ESSFplots",49.12966101,-120.816088,1661.301636,2025,"jpstamp","Med-High","PAXIMYR",8,1,"shrub"
"54","00NCe74","NCBG_ESSFplots",49.12966101,-120.816088,1661.301636,2025,"jpstamp","Med-High","PHLODIF",0,0,"herb"
