ID1,ID2,lat,long,el
00NCc13,2000,49.22752855,-120.9627241,900
00NCe73,2000,49.12286895,-120.8200364,1455
00NCe74,2000,49.12958668,-120.8160951,1620
00NCe75,2000,49.13184343,-120.8212604,1750
00NCe76,2000,49.12956482,-120.8230328,1665
00NCe77,2000,49.06956013,-120.905716,1470
00NCe78,2000,49.08614425,-120.9258513,1840
00NCe79,2000,49.08811762,-120.9446303,1790
00NCe82,2000,49.04462405,-120.9646257,1810
00NCe83,2000,49.0409285,-120.9723988,1800
00NCe84,2000,49.04042506,-120.9724193,685
00NCe85,2000,49.03686803,-120.9645592,1705
00NCe86,2000,49.04063959,-120.9800327,1745
00NCe87,2000,49.03145849,-120.9420956,1820
00NCe89,2000,49.05549669,-120.9155332,1725
00NCe90,2000,49.06442921,-120.8922135,1325
00NCe91,NA,49.11667802,-120.8651929,1450
00NCe92,2000,49.12229155,-120.8690776,1665
00NCe93,2000,49.13832844,-120.8485222,1615
00NCe94,2000,49.1422333,-120.8451718,1565
00NCe95,2000,49.12585389,-120.8366702,1540
114791,2007,49.1638298,-120.7723007,2225
114792,2007,49.16588973,-120.7787018,2225
114793,2007,49.16717147,-120.7802963,2200
114794,2007,49.16852951,-120.7815018,2145
114795,2007,49.16878128,-120.781601,2140
114796,2007,49.17169952,-120.7848969,2100
114797,2007,49.17219924,-120.7894974,2125
02-3085,2019,49.14056015,-120.7638931,2044
02-3087,2019,49.1199913,-120.752121,1874
02-3088,2019,49.13434982,-120.7645264,1928
02-3089,2019,49.14989852,-120.7567673,2136
02-3090,2019,49.1461296,-120.7544632,2119
35079,1979,49.18056106,-120.9610977,770
35179,1979,49.08110809,-120.8127975,1210
35379,1979,49.08889007,-120.8139038,1210
12-1929,2015,49.20005416,-120.9982758,906
12-2000,2019,49.13544082,-120.7637634,1954
12-9554,2019,49.0820198,-120.9237823,1792
12-9555,2019,49.16053009,-120.76474,1876
14-4318,2019,49.10192108,-120.7574768,1956
14-4319,2019,49.10179138,-120.7552795,1890
14-4320,2019,49.07690048,-120.7710724,1815
14-4323,2019,49.16270065,-120.7649994,1994
14-4324,2019,49.16270065,-120.7649002,1988
14-4325,2019,49.15930175,-120.7705002,1981
14-4326,2019,49.1603012,-120.7731018,2030
14-4361,2019,49.15879821,-120.7743988,2093
14-4382,2019,49.1646614,-120.7790527,2197
14-4383,2019,49.15822982,-120.7749863,2106
14-4384,2019,49.15280151,-120.7717896,2062
14-4385,2019,49.16463088,-120.7775726,2217
14-4386,2019,49.10020828,-120.7596817,2009
14-4387,2019,49.09149169,-120.7733994,1955
14-4388,2019,49.06903839,-120.7620316,1624
14-4573,2019,49.07849884,-120.9320297,1590
14-4577,2019,49.14511871,-120.7613602,2052
14-4585,2019,49.07535934,-120.7685013,1752
14-4587,2019,49.0782814,-120.917923,1679
14-4588,2019,49.0820198,-120.9236526,1792
19JCG13,2019,49.11692047,-120.6429367,1080
19JCG15,2019,49.11320114,-120.6441498,1046
19JCG18,2019,49.11236953,-120.6519089,1088
MP 291,1976,49.03950881,-120.8720016,1308
MP 292,1976,49.03998947,-120.8811035,1277
MP 293,1976,49.04455947,-120.8516998,1259
MP 294,1976,49.11808013,-120.8660965,1402
MP 295,1976,49.11931991,-120.8755035,1353
MP 296,1976,49.12162017,-120.8731003,1381
MP 299,1976,49.04080963,-120.8787003,1311
MP 281,1976,49.10832977,-120.7583008,1921
MP 285,1976,49.07500076,-120.7750015,1481
MP 286,1976,49.07500076,-120.7750015,1326
MP 287,1976,49.11643981,-120.8702011,1250
MP 288,1976,49.11574935,-120.8669968,1259
MP 289,1976,49.04022979,-120.8937988,1466
MP 290,1976,49.03955841,-120.8881989,1353
SK93710,1993,49.21475894,-121.0660627,695
SK93711,1993,49.21441772,-121.0671746,686
SK93721,1993,49.21632862,-121.0684733,698
SK93722,1993,49.21739366,-121.0676078,698
SK93734,1993,49.19803638,-120.9928605,869
SK93735,1993,49.19748268,-120.9920592,869
SK93736,1993,49.20192025,-120.9885846,823
