PlotNumber,ProjectID,Date,Location,Longitude,Latitude,LocationAccuracy,Elevation,SlopeGradient,Aspect,MesoSlopePosition,SurfaceShape,SiteNotes,SoilNotes,StrataCoverTree,StrataCoverShrub,StrataCoverHerb,StrataCoverMoss,VegNotes,SpeciesListComplete,Species,CoverA1,CoverA2,CoverA3,TotalA,CoverB1,CoverB2,TotalB,CoverC,CoverD,CoverE,CoverF
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00NCc13,NCGB_CWHplots,2000-07-15,Skaist River below Grainger Cr. in NW Manning Park.,-120.9627241,49.22752855,100,900,28,127,MD,ST,"--Ecopoly#: 7541
--FC: nta
--canopy closure: non-forested
--bottom 1/3 of the avalanche track, but not true run-out zone; spp are arranged in bands to a certain degree-those closer to standing timber along the slide path margins and those within the core of the path; site is likely most affected by spring to-ground wet slides rather than mid-winter events.
",#NAME?,0,100,10,0,#NAME?,FALSE,PTERAQU,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00NCc13,NCGB_CWHplots,2000-07-15,Skaist River below Grainger Cr. in NW Manning Park.,-120.9627241,49.22752855,100,900,28,127,MD,ST,"--Ecopoly#: 7541
--FC: nta
--canopy closure: non-forested
--bottom 1/3 of the avalanche track, but not true run-out zone; spp are arranged in bands to a certain degree-those closer to standing timber along the slide path margins and those within the core of the path; site is likely most affected by spring to-ground wet slides rather than mid-winter events.
",#NAME?,0,100,10,0,#NAME?,FALSE,CRATDOU,NA,NA,NA,NA,15,5,20,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00NCc13,NCGB_CWHplots,2000-07-15,Skaist River below Grainger Cr. in NW Manning Park.,-120.9627241,49.22752855,100,900,28,127,MD,ST,"--Ecopoly#: 7541
--FC: nta
--canopy closure: non-forested
--bottom 1/3 of the avalanche track, but not true run-out zone; spp are arranged in bands to a certain degree-those closer to standing timber along the slide path margins and those within the core of the path; site is likely most affected by spring to-ground wet slides rather than mid-winter events.
",#NAME?,0,100,10,0,#NAME?,FALSE,CORNSER,NA,NA,NA,NA,75,NA,75,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00NCc13,NCGB_CWHplots,2000-07-15,Skaist River below Grainger Cr. in NW Manning Park.,-120.9627241,49.22752855,100,900,28,127,MD,ST,"--Ecopoly#: 7541
--FC: nta
--canopy closure: non-forested
--bottom 1/3 of the avalanche track, but not true run-out zone; spp are arranged in bands to a certain degree-those closer to standing timber along the slide path margins and those within the core of the path; site is likely most affected by spring to-ground wet slides rather than mid-winter events.
",#NAME?,0,100,10,0,#NAME?,FALSE,CHAMANG,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00NCc13,NCGB_CWHplots,2000-07-15,Skaist River below Grainger Cr. in NW Manning Park.,-120.9627241,49.22752855,100,900,28,127,MD,ST,"--Ecopoly#: 7541
--FC: nta
--canopy closure: non-forested
--bottom 1/3 of the avalanche track, but not true run-out zone; spp are arranged in bands to a certain degree-those closer to standing timber along the slide path margins and those within the core of the path; site is likely most affected by spring to-ground wet slides rather than mid-winter events.
",#NAME?,0,100,10,0,#NAME?,FALSE,CLAYSIB,NA,NA,NA,NA,NA,NA,NA,0.100000001,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00NCc13,NCGB_CWHplots,2000-07-15,Skaist River below Grainger Cr. in NW Manning Park.,-120.9627241,49.22752855,100,900,28,127,MD,ST,"--Ecopoly#: 7541
--FC: nta
--canopy closure: non-forested
--bottom 1/3 of the avalanche track, but not true run-out zone; spp are arranged in bands to a certain degree-those closer to standing timber along the slide path margins and those within the core of the path; site is likely most affected by spring to-ground wet slides rather than mid-winter events.
",#NAME?,0,100,10,0,#NAME?,FALSE,HERAMAX,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
