"","species_BEC","occurences_BEC"
"1","ABIEAMA",16
"2","ABIEGRA",2
"3","ABIELAS",45
"4","ACERCIR",4
"5","ACERGLA",3
"6","ACHIMIL",6
"7","ACONDEL",1
"8","ACTARUB",5
"9","AGOSAUR",3
"10","AGOSGLA",1
"11","ALECOCH",1
"12","ALECSAR",1
"13","ALNUALN",5
"14","ALNUINC",1
"15","ALNURUB",2
"16","AMELALN",10
"17","ANAPMAR",3
"18","ANGEARG",3
"19","ANGEGEN",2
"20","ANTEALP",3
"21","ANTELAN",8
"22","ANTENEG",1
"23","ANTERAC",2
"24","ANTEROS",1
"25","ANTEUMB",1
"26","ANTIOCC",1
"27","AQUIFOR",6
"28","ARCTUVA",8
"29","ARENARIA SP.",1
"30","ARNICA SP.",1
"31","ARNICOR",5
"32","ARNILAT",18
"33","ARNIPAR",3
"34","ARNIRYD",2
"35","ASARCAU",1
"36","ASTER SP.",5
"37","ASTRALP",1
"38","ATHYFIL",3
"39","ATRISEL",1
"40","AULAPAL",1
"41","BARBLYC",2
"42","BISTVIV",1
"43","BLEPARA",1
"44","BLEPTRI",1
"45","BOECLYA",1
"46","BOECSTR",1
"47","BRACALB",3
"48","BRACERY",3
"49","BRACFRI",2
"50","BRACHYTHECIUM SP.",5
"51","BRACLEI",1
"52","BRACRIV",1
"53","BRACSAL",1
"54","BRACVEL",1
"55","BROMCAR",1
"56","BROMSIT",3
"57","CALACAN",2
"58","CALAMAGROTIS SP.",1
"59","CALAPUR",1
"60","CALARUB",5
"61","CALTLEP",1
"62","CALYAZU",2
"63","CANAMOD",1
"64","CAREALB",2
"65","CARELAE",1
"66","CAREMER",1
"67","CAREMIP",1
"68","CARENAR",1
"69","CARENIG",2
"70","CAREPHA",5
"71","CAREROS",1
"72","CARESCI",1
"73","CARESPE",3
"74","CAREX SP.",4
"75","CASSMER",4
"76","CASTMIN",3
"77","CASTPAR",4
"78","CASTRHE",3
"79","CEANVEL",2
"80","CEPHALOZIA SP.",1
"81","CERAPUR",2
"82","CETRISL",2
"83","CHAMANG",11
"84","CHILPAL",1
"85","CHIMMEN",1
"86","CHIMUMB",12
"87","CIRSIUM SP.",2
"88","CLADCHL",1
"89","CLADCOR",3
"90","CLADECM",3
"91","CLADFIM",2
"92","CLADGRA",3
"93","CLADMIT",4
"94","CLADONIA SP.",3
"95","CLADRAN",2
"96","CLADSCA",1
"97","CLAYLAN",4
"98","CLINUNI",13
"99","COELACU",2
"100","CORNCAN",13
"101","CORNSER",4
"102","CYSTFRA",1
"103","DACTVIR",1
"104","DANTINT",2
"105","DELPMEN",1
"106","DICRANUM SP.",1
"107","DICRFUS",7
"108","DICRPAI",2
"109","DICRPOL",6
"110","DICRSCO",1
"111","DIOBPAL",2
"112","DIPHCOM",1
"113","DITRHET",1
"114","DRABA SP.",1
"115","DRABAUR",1
"116","DRYAHOO",2
"117","DRYMGLA",1
"118","ELYMELY",1
"119","ELYMGLA",2
"120","EMPENIG",1
"121","EPILANA",2
"122","EPILCIL",2
"123","EPILGLA",1
"124","EQUIARV",2
"125","EQUIHYE",1
"126","EQUIPRA",4
"127","EQUISETUM SP.",1
"128","EREMCAP",10
"129","ERIGAUR",4
"130","ERIGCOM",1
"131","ERIGERON SP.",1
"132","ERIGGLA",5
"133","ERIGPER",1
"134","ERIOHER",1
"135","ERIOUMB",1
"136","EUCEENG",3
"137","EURYCON",3
"138","FESTBRA",2
"139","FESTSAX",1
"140","FESTUCA SP.",1
"141","FESTVIR",5
"142","FLAVCUC",1
"143","FLAVNIV",2
"144","FRAGVES",2
"145","FRAGVIR",8
"146","GALIAPA",2
"147","GALITRF",5
"148","GAULOVA",6
"149","GOODOBL",15
"150","GYMNDRY",6
"151","HERAMAX",9
"152","HETEMAC",1
"153","HETEVIL",1
"154","HEUCCYL",1
"155","HIERACIUM SP.",7
"156","HIERALI",1
"157","HIERGRA",4
"158","HIERSCO",3
"159","HIERUMB",2
"160","HYLOSPL",8
"161","HYLOTRI",4
"162","HYPOMON",3
"163","JUNCPAR",6
"164","JUNICOM",6
"165","LEPTPYI",1
"166","LEPTPYR",3
"167","LESCRAD",2
"168","LETHARIA SP.",1
"169","LEUCVUL",1
"170","LICHEN SP.",1
"171","LILICOL",2
"172","LINNBOR",9
"173","LOBALIN",1
"174","LOMADIS",1
"175","LOMAMAC",1
"176","LONICIL",1
"177","LONIINV",7
"178","LONIUTA",17
"179","LOPHCOA",1
"180","LOPHHET",1
"181","LOPHOZIA SP.",2
"182","LUETPEC",4
"183","LUPIARC",23
"184","LUPILEP",4
"185","LUPINUS",1
"186","LUZUPAR",5
"187","LUZUPIP",2
"188","LUZUSPI",4
"189","LYCOANN",4
"190","LYSILAT",1
"191","MAHOAQU",1
"192","MAHONER",7
"193","MAIARAC",5
"194","MAIASTE",5
"195","MARCPOL",1
"196","MENZFER",8
"197","MICROCC",3
"198","MICRODO",1
"199","MITELLA SP.",1
"200","MONEUNI",2
"201","NEOTBAN",1
"202","NEOTCOR",6
"203","NIPHCAN",2
"204","NOTHNEM",1
"205","OBTUOBT",1
"206","OPLOHOR",1
"207","ORTHSEC",21
"208","OSMOBER",7
"209","OSMOPUR",2
"210","PACKCAN",1
"211","PARNFIM",4
"212","PAXIMYR",27
"213","PECTBRE",9
"214","PECTPET",5
"215","PEDIBRA",5
"216","PEDILAB",1
"217","PEDIRAC",5
"218","PELTAPH",9
"219","PELTBRI",1
"220","PELTCAN",3
"221","PELTIGERA SP.",4
"222","PENSDAV",2
"223","PENSFRU",1
"224","PENSPRO",3
"225","PETAFRI",1
"226","PHLEALP",2
"227","PHLODIF",9
"228","PHYLEMP",5
"229","PHYLGLA",1
"230","PICEENG",37
"231","PINUALB",8
"232","PINUCON",15
"233","PINUMON",5
"234","PINURAD",1
"235","PLAGINS",6
"236","PLAGIOMNIUM SP.",1
"237","PLATSTR",2
"238","PLEUSCH",15
"239","POA_ALP",1
"240","POA_ARC",1
"241","POA_CUS",2
"242","POA_SEC",1
"243","POACEAE SP.",10
"244","PODAHUM",1
"245","POGOCON",1
"246","POHLIA SP.",2
"247","POHLNUT",2
"248","POLEPUL",2
"249","POLYGONUM SP.",1
"250","POLYJUN",7
"251","POLYLOC",1
"252","POLYMIN",1
"253","POLYPIL",5
"254","POLYTRICHUM SP.",2
"255","POPUTRE",1
"256","POPUTRI",1
"257","POTEFLA",4
"258","POTEGLU",4
"259","POTENTILLA SP.",2
"260","POTEUNI",1
"261","PROSHOO",3
"262","PSEUMEN",18
"263","PTILCRI",4
"264","PTYCWEI",1
"265","PULSOCC",5
"266","PYROASA",17
"267","PYROCHL",2
"268","PYRODEN",4
"269","PYROELL",1
"270","PYROMIN",1
"271","RACOMITRIUM SP.",1
"272","RANUESC",2
"273","RHIZMAG",2
"274","RHIZNUD",4
"275","RHIZPUN",1
"276","RHODALB",14
"277","RHODINT",3
"278","RHODMAC",7
"279","RHYTIDIOPSIS SP.",1
"280","RHYTLOR",4
"281","RHYTROB",16
"282","RHYTSQU",3
"283","RIBEACE",13
"284","RIBELAC",14
"285","RIBEVIS",1
"286","ROELROE",4
"287","ROSA SP.",2
"288","ROSAACI",1
"289","ROSAGYM",8
"290","RUBUPAR",11
"291","RUBUPED",13
"292","RUBUSPE",1
"293","RUBUURS",1
"294","SALICAS",1
"295","SALIDIS",1
"296","SALINIV",2
"297","SALISCO",4
"298","SALIX SP.",6
"299","SAMBRAC",5
"300","SANIUNC",2
"301","SAXIAUS",2
"302","SCIUHYL",6
"303","SCIUOED",2
"304","SEDUDIV",1
"305","SEDULAN",4
"306","SELADEN",4
"307","SELASCO",3
"308","SENECIO SP.",1
"309","SENEINT",3
"310","SENETRI",3
"311","SHEPCAN",2
"312","SIBBPRO",2
"313","SILEACA",1
"314","SILEINV",1
"315","SILEMEN",1
"316","SILEPAR",4
"317","SOLIMUL",1
"318","SORBSCO",8
"319","SORBSIT",8
"320","SPIRLUC",15
