"","PlotNumber","ProjectID","Elevation","Year","SiteSurveyor","RelocationConfidence","Species","2019Plot","ErrorPlot","Cover","present"
"1","00NCe73","NCBG_ESSFplots",1459.460205,2025,"jpstamp","Med-High","ABIEAMA","N","N",93.75,1
"2","00NCe73","NCBG_ESSFplots",1459.460205,2025,"jpstamp","Med-High","ABIELAS","N","N",2,1
"3","00NCe73","NCBG_ESSFplots",1459.460205,2025,"jpstamp","Med-High","AMELALN",NA,NA,0,0
"4","00NCe73","NCBG_ESSFplots",1459.460205,2025,"jpstamp","Med-High","ARNILAT","N","N",0.075,1
"5","00NCe73","NCBG_ESSFplots",1459.460205,2025,"jpstamp","Med-High","CHAMANG",NA,NA,0,0
"6","00NCe73","NCBG_ESSFplots",1459.460205,2025,"jpstamp","Med-High","CHIMUMB","N","N",0.25,1
"7","00NCe73","NCBG_ESSFplots",1459.460205,2025,"jpstamp","Med-High","CLINUNI",NA,NA,0,0
"8","00NCe73","NCBG_ESSFplots",1459.460205,2025,"jpstamp","Med-High","CORNCAN","N","N",1.025,1
"9","00NCe73","NCBG_ESSFplots",1459.460205,2025,"jpstamp","Med-High","GOODOBL",NA,NA,0,0
"10","00NCe73","NCBG_ESSFplots",1459.460205,2025,"jpstamp","Med-High","HERAMAX",NA,NA,0,0
"11","00NCe73","NCBG_ESSFplots",1459.460205,2025,"jpstamp","Med-High","LINNBOR",NA,NA,0,0
"12","00NCe73","NCBG_ESSFplots",1459.460205,2025,"jpstamp","Med-High","LONIUTA","N","N",0.375,1
"13","00NCe73","NCBG_ESSFplots",1459.460205,2025,"jpstamp","Med-High","LUPIARC",NA,NA,0,0
"14","00NCe73","NCBG_ESSFplots",1459.460205,2025,"jpstamp","Med-High","ORTHSEC",NA,NA,0,0
"15","00NCe73","NCBG_ESSFplots",1459.460205,2025,"jpstamp","Med-High","PAXIMYR","N","N",0.2,1
"16","00NCe73","NCBG_ESSFplots",1459.460205,2025,"jpstamp","Med-High","PHLODIF",NA,NA,0,0
"17","00NCe73","NCBG_ESSFplots",1459.460205,2025,"jpstamp","Med-High","PICEENE","N","N",6.625,1
"18","00NCe73","NCBG_ESSFplots",1459.460205,2025,"jpstamp","Med-High","PINUCON",NA,NA,0,0
"19","00NCe73","NCBG_ESSFplots",1459.460205,2025,"jpstamp","Med-High","PSEUMEN",NA,NA,0,0
"20","00NCe73","NCBG_ESSFplots",1459.460205,2025,"jpstamp","Med-High","PYROASA",NA,NA,0,0
"21","00NCe73","NCBG_ESSFplots",1459.460205,2025,"jpstamp","Med-High","RHODALB","N","N",1.25,1
"22","00NCe73","NCBG_ESSFplots",1459.460205,2025,"jpstamp","Med-High","RIBEACE","N","N",0.05,1
"23","00NCe73","NCBG_ESSFplots",1459.460205,2025,"jpstamp","Med-High","RIBELAC","N","N",0.225,1
"24","00NCe73","NCBG_ESSFplots",1459.460205,2025,"jpstamp","Med-High","RUBUPAR",NA,NA,0,0
"25","00NCe73","NCBG_ESSFplots",1459.460205,2025,"jpstamp","Med-High","RUBUPED","N","N",0.95,1
"26","00NCe73","NCBG_ESSFplots",1459.460205,2025,"jpstamp","Med-High","SORBSCO",NA,NA,0,0
"27","00NCe73","NCBG_ESSFplots",1459.460205,2025,"jpstamp","Med-High","SORBSIT","N","N",0.1,1
"28","00NCe73","NCBG_ESSFplots",1459.460205,2025,"jpstamp","Med-High","SPIRLUC",NA,NA,0,0
"29","00NCe73","NCBG_ESSFplots",1459.460205,2025,"jpstamp","Med-High","THALOCC",NA,NA,0,0
"30","00NCe73","NCBG_ESSFplots",1459.460205,2025,"jpstamp","Med-High","THUJPLI",NA,NA,0,0
"31","00NCe73","NCBG_ESSFplots",1459.460205,2025,"jpstamp","Med-High","TIARTRI","N","N",0.175,1
"32","00NCe73","NCBG_ESSFplots",1459.460205,2025,"jpstamp","Med-High","TSUGHET","N","N",15.25,1
"33","00NCe73","NCBG_ESSFplots",1459.460205,2025,"jpstamp","Med-High","VACCMEM","N","N",0.8,1
"34","00NCe73","NCBG_ESSFplots",1459.460205,2025,"jpstamp","Med-High","VACCSCO",NA,NA,0,0
"35","00NCe73","NCBG_ESSFplots",1459.460205,2025,"jpstamp","Med-High","VALESIT","N","N",0.375,1
"36","00NCe73","NCBG_ESSFplots",1459.460205,2025,"jpstamp","Med-High","VERAVIR",NA,NA,0,0
"37","00NCe74","NCBG_ESSFplots",1661.301636,2025,"jpstamp","Med-High","ABIEAMA",NA,NA,0,0
"38","00NCe74","NCBG_ESSFplots",1661.301636,2025,"jpstamp","Med-High","ABIELAS","N","N",47,1
"39","00NCe74","NCBG_ESSFplots",1661.301636,2025,"jpstamp","Med-High","AMELALN",NA,NA,0,0
"40","00NCe74","NCBG_ESSFplots",1661.301636,2025,"jpstamp","Med-High","ARNILAT","N","N",3.5,1
"41","00NCe74","NCBG_ESSFplots",1661.301636,2025,"jpstamp","Med-High","CHAMANG","N","N",0.5,1
"42","00NCe74","NCBG_ESSFplots",1661.301636,2025,"jpstamp","Med-High","CHIMUMB",NA,NA,0,0
"43","00NCe74","NCBG_ESSFplots",1661.301636,2025,"jpstamp","Med-High","CLINUNI","N","N",3.25,1
"44","00NCe74","NCBG_ESSFplots",1661.301636,2025,"jpstamp","Med-High","CORNCAN",NA,NA,0,0
"45","00NCe74","NCBG_ESSFplots",1661.301636,2025,"jpstamp","Med-High","GOODOBL","N","N",0.075,1
"46","00NCe74","NCBG_ESSFplots",1661.301636,2025,"jpstamp","Med-High","HERAMAX",NA,NA,0,0
"47","00NCe74","NCBG_ESSFplots",1661.301636,2025,"jpstamp","Med-High","LINNBOR",NA,NA,0,0
"48","00NCe74","NCBG_ESSFplots",1661.301636,2025,"jpstamp","Med-High","LONIUTA","N","N",0.8,1
"49","00NCe74","NCBG_ESSFplots",1661.301636,2025,"jpstamp","Med-High","LUPIARC","N","N",1.25,1
"50","00NCe74","NCBG_ESSFplots",1661.301636,2025,"jpstamp","Med-High","ORTHSEC","N","N",0.075,1
"51","00NCe74","NCBG_ESSFplots",1661.301636,2025,"jpstamp","Med-High","PAXIMYR","N","N",8,1
"52","00NCe74","NCBG_ESSFplots",1661.301636,2025,"jpstamp","Med-High","PHLODIF",NA,NA,0,0
"53","00NCe74","NCBG_ESSFplots",1661.301636,2025,"jpstamp","Med-High","PICEENE","N","N",5.5,1
"54","00NCe74","NCBG_ESSFplots",1661.301636,2025,"jpstamp","Med-High","PINUCON","N","N",0.25,1
"55","00NCe74","NCBG_ESSFplots",1661.301636,2025,"jpstamp","Med-High","PSEUMEN",NA,NA,0,0
"56","00NCe74","NCBG_ESSFplots",1661.301636,2025,"jpstamp","Med-High","PYROASA",NA,NA,0,0
"57","00NCe74","NCBG_ESSFplots",1661.301636,2025,"jpstamp","Med-High","RHODALB","N","N",0.275,1
"58","00NCe74","NCBG_ESSFplots",1661.301636,2025,"jpstamp","Med-High","RIBEACE",NA,NA,0,0
"59","00NCe74","NCBG_ESSFplots",1661.301636,2025,"jpstamp","Med-High","RIBELAC","N","N",2.5,1
"60","00NCe74","NCBG_ESSFplots",1661.301636,2025,"jpstamp","Med-High","RUBUPAR","N","N",19.75,1
"61","00NCe74","NCBG_ESSFplots",1661.301636,2025,"jpstamp","Med-High","RUBUPED",NA,NA,0,0
"62","00NCe74","NCBG_ESSFplots",1661.301636,2025,"jpstamp","Med-High","SORBSCO","N","N",0.075,1
"63","00NCe74","NCBG_ESSFplots",1661.301636,2025,"jpstamp","Med-High","SORBSIT",NA,NA,0,0
"64","00NCe74","NCBG_ESSFplots",1661.301636,2025,"jpstamp","Med-High","SPIRLUC","N","N",1.625,1
"65","00NCe74","NCBG_ESSFplots",1661.301636,2025,"jpstamp","Med-High","THALOCC","N","N",1.25,1
"66","00NCe74","NCBG_ESSFplots",1661.301636,2025,"jpstamp","Med-High","THUJPLI",NA,NA,0,0
"67","00NCe74","NCBG_ESSFplots",1661.301636,2025,"jpstamp","Med-High","TIARTRI","N","N",0.075,1
"68","00NCe74","NCBG_ESSFplots",1661.301636,2025,"jpstamp","Med-High","TSUGHET",NA,NA,0,0
"69","00NCe74","NCBG_ESSFplots",1661.301636,2025,"jpstamp","Med-High","VACCMEM","N","N",3.5,1
"70","00NCe74","NCBG_ESSFplots",1661.301636,2025,"jpstamp","Med-High","VACCSCO","N","N",0.15,1
