"PlotNumber","ProjectID","Latitude","Longitude","Date","Elevation","Year"
"00NCc13","NCGB_CWHplots",49.2275285482524,-120.96272413177,2000-07-15,900,"2000"
"00NCe73","NCBG_ESSFplots",49.1228689510519,-120.820036366453,2000-10-01,1455,"2000"
"00NCe74","NCBG_ESSFplots",49.129586676689,-120.816095134472,2000-10-01,1620,"2000"
"00NCe75","NCBG_ESSFplots",49.1318434315633,-120.821260436089,2000-10-01,1750,"2000"
"00NCe76","NCBG_ESSFplots",49.1295648197745,-120.823032821207,2000-10-01,1665,"2000"
"00NCe77","NCBG_ESSFplots",49.0695601291033,-120.905716032925,2000-10-02,1470,"2000"
"00NCe78","NCBG_ESSFplots",49.0861442484695,-120.925851280501,2000-10-02,1840,"2000"
"00NCe79","NCBG_ESSFplots",49.088117621317,-120.944630328754,2000-10-02,1790,"2000"
"00NCe82","NCBG_ESSFplots",49.0446240525405,-120.964625748643,2000-10-04,1810,"2000"
"00NCe83","NCBG_ESSFplots",49.040928495917,-120.972398804319,2000-10-04,1800,"2000"
"00NCe84","NCBG_ESSFplots",49.0404250607478,-120.972419277583,2000-10-04,685,"2000"
"00NCe85","NCBG_ESSFplots",49.0368680288175,-120.964559221006,2000-10-04,1705,"2000"
"00NCe86","NCBG_ESSFplots",49.0406395925497,-120.980032689017,2000-10-04,1745,"2000"
"00NCe87","NCBG_ESSFplots",49.0314584918895,-120.942095623946,2000-10-05,1820,"2000"
"00NCe89","NCBG_ESSFplots",49.0554966862695,-120.915533153857,2000-10-05,1725,"2000"
"00NCe90","NCBG_ESSFplots",49.0644292061214,-120.892213473388,2000-10-05,1325,"2000"
"00NCe91","NCBG_ESSFplots",49.1166780185398,-120.865192864627,NA,1450,NA
"00NCe92","NCBG_ESSFplots",49.1222915488203,-120.869077581201,2000-10-06,1665,"2000"
"00NCe93","NCBG_ESSFplots",49.1383284354848,-120.848522157277,2000-10-06,1615,"2000"
"00NCe94","NCBG_ESSFplots",49.1422333003982,-120.845171765712,2000-10-06,1565,"2000"
"00NCe95","NCBG_ESSFplots",49.1258538862608,-120.836670229292,2000-10-06,1540,"2000"
"0114791","Alpine2007_BEC",49.1638298,-120.77230072,2007-07-15,2225,"2007"
"0114792","Alpine2007_BEC",49.16588973,-120.77870178,2007-07-14,2225,"2007"
"0114793","Alpine2007_BEC",49.16717147,-120.78029632,2007-07-15,2200,"2007"
"0114794","Alpine2007_BEC",49.16852951,-120.78150177,2007-07-15,2145,"2007"
"0114795","Alpine2007_BEC",49.16878128,-120.78160095,2007-07-15,2140,"2007"
"0114796","Alpine2007_BEC",49.17169952,-120.78489685,2007-07-15,2100,"2007"
"0114797","Alpine2007_BEC",49.17219924,-120.78949737,2007-07-15,2125,"2007"
"02-3085","BC Parks Manning TEM",49.14056015,-120.76389312,2019-10-29,2044,"2019"
"02-3087","BC Parks Manning TEM",49.1199913,-120.75212097,2019-08-14,1874,"2019"
"02-3088","BC Parks Manning TEM",49.13434982,-120.76452636,2019-08-14,1928,"2019"
"02-3089","BC Parks Manning TEM",49.14989852,-120.75676727,2019-08-15,2136,"2019"
"02-3090","BC Parks Manning TEM",49.1461296,-120.75446319,2019-08-15,2119,"2019"
"035079","BEC-Vancouver",49.18056106,-120.96109771,1979-08-15,770,"1979"
"035179","BEC-Vancouver",49.08110809,-120.81279754,1979-08-14,1210,"1979"
"035379","BEC-Vancouver",49.08889007,-120.8139038,1979-08-14,1210,"1979"
"12-1929","RCOBEC15",49.20005416,-120.99827575,2015-06-24,906,"2015"
"12-2000","BC Parks Manning TEM",49.13544082,-120.76376342,2019-08-15,1954,"2019"
"12-9554","BC Parks Manning TEM",49.0820198,-120.92378234,2019-08-27,1792,"2019"
"12-9555","BC Parks Manning TEM",49.16053009,-120.76473999,2019-10-31,1876,"2019"
"14-4311","BC Parks Manning TEM",49.05760955,-120.72608947,2019-10-31,1129,"2019"
"14-4312","BC Parks Manning TEM",49.05651092,-120.72482299,2019-08-17,1134,"2019"
"14-4313","BC Parks Manning TEM",49.05635833,-120.72499084,2019-08-17,1134,"2019"
"14-4314","BC Parks Manning TEM",49.05464172,-120.72676086,2019-08-17,1135,"2019"
"14-4315","BC Parks Manning TEM",49.05379867,-120.73133087,2019-08-17,1145,"2019"
"14-4316","BC Parks Manning TEM",49.03958129,-120.76468658,2019-08-18,1558,"2019"
