"PlotNumber","Zone","SubZone","Latitude","Longitude","Elevation","Date"
"00NCc13","CWH","ms1",49.2275285482524,-120.96272413177,900,"2000-07-15"
"00NCe73","ESSF","mw",49.1228689510519,-120.820036366453,1455,"2000-10-01"
"00NCe74","ESSF","mw",49.129586676689,-120.816095134472,1620,"2000-10-01"
"00NCe75","ESSF","mw",49.1318434315633,-120.821260436089,1750,"2000-10-01"
"00NCe76","ESSF","mw",49.1295648197745,-120.823032821207,1665,"2000-10-01"
"00NCe77","ESSF","mw",49.0695601291033,-120.905716032925,1470,"2000-10-02"
"00NCe78","ESSF","unp",49.0861442484695,-120.925851280501,1840,"2000-10-02"
"00NCe79","ESSF","unp",49.088117621317,-120.944630328754,1790,"2000-10-02"
"00NCe82","ESSF","unp",49.0446240525405,-120.964625748643,1810,"2000-10-04"
"00NCe83","ESSF","unp",49.040928495917,-120.972398804319,1800,"2000-10-04"
"00NCe84","ESSF","unp",49.0404250607478,-120.972419277583,685,"2000-10-04"
"00NCe85","ESSF","unp",49.0368680288175,-120.964559221006,1705,"2000-10-04"
"00NCe86","ESSF","unp",49.0406395925497,-120.980032689017,1745,"2000-10-04"
"00NCe87","ESSF","unp",49.0314584918895,-120.942095623946,1820,"2000-10-05"
"00NCe89","ESSF","mw",49.0554966862695,-120.915533153857,1725,"2000-10-05"
"00NCe90","ESSF","mw",49.0644292061214,-120.892213473388,1325,"2000-10-05"
"00NCe91","ESSF","mw",49.1166780185398,-120.865192864627,1450,NA
"00NCe92","ESSF","mw",49.1222915488203,-120.869077581201,1665,"2000-10-06"
"00NCe93","ESSF","mw",49.1383284354848,-120.848522157277,1615,"2000-10-06"
"00NCe94","ESSF","mw",49.1422333003982,-120.845171765712,1565,"2000-10-06"
"00NCe95","ESSF","mw",49.1258538862608,-120.836670229292,1540,"2000-10-06"
"0114791","ESSF","mwp",49.1638298,-120.77230072,2225,"2007-07-15"
"0114792","ESSF","mwp",49.16588973,-120.77870178,2225,"2007-07-14"
"0114793","ESSF","mwp",49.16717147,-120.78029632,2200,"2007-07-15"
"0114794","ESSF","mwp",49.16852951,-120.78150177,2145,"2007-07-15"
"0114795","ESSF","mwp",49.16878128,-120.78160095,2140,"2007-07-15"
