"Species","Functional_group","2019","2025","Error"
"ABIEAMA","tree",1,2,1
"ABIELAS","tree",7,7,8
"ACHIMIL","herb",2,4,5
"ACONCOL","herb",0,1,0
"ACONDEL","herb",1,0,0
"ACTARUB","herb",0,1,1
"AGOSAUR","herb",2,2,1
"AGOSGLA","herb",1,0,0
"AMELALN","shrub",2,2,3
"ANEMGRA","herb",0,1,1
"ANGEARG","herb",0,2,1
"ANGEGEN","herb",1,1,0
"ANTELAN","herb",4,3,4
"ANTERAC","herb",2,0,1
"ANTEROS","herb",0,1,1
"ANTEUMB","herb",1,0,0
"ANTIOCC","herb",1,0,0
"ARCTUVA","shrub",2,2,1
"ARNICOR","herb",2,4,3
"ARNILAT","herb",6,6,7
"ARNIPAR","herb",2,4,4
"ATHYFIL","herb",0,0,1
"BOECLYA","herb",1,0,0
"BOECSTR","herb",1,0,0
"CALTLEP","herb",1,0,0
"CASSMER","shrub",1,1,1
"CASTMIN","herb",3,0,0
"CASTPAR","herb",1,0,1
"CEANVEL","shrub",1,0,1
"CHAMANG","herb",1,4,5
"CHIMUMB","shrub",0,1,1
"CLAYLAN","herb",2,0,0
"CLAYPER","herb",0,1,0
"CLINUNI","herb",0,1,1
"DACTVIR","herb",1,0,0
"DRYMGLA","herb",1,1,0
"DRYMPSE","herb",0,1,0
"EPILGLA","herb",1,1,1
"EQUIARV","herb",1,1,1
"EREMCAP","herb",5,5,6
"ERIGAUR","herb",1,1,1
"ERIGCOM","herb",1,1,1
"ERIGGLA","herb",5,3,4
"ERIOHER","herb",1,0,0
"ERIOOVA","herb",0,1,0
"ERIOUMB","herb",1,2,3
"ERYTGRA","herb",0,5,5
"EUCEENG","herb",3,0,0
"FRAGVIR","herb",2,3,2
"GALITRF","herb",0,1,1
"GOODOBL","herb",2,4,3
"GYMNDRY","herb",0,0,1
"HERAMAX","herb",1,2,0
"HETEVIL","herb",1,0,0
"HEUCCYL","herb",1,1,1
"HIERALB","herb",0,3,4
"HIERGRA","herb",2,0,0
"HIERSCO","herb",2,0,0
"HIERTRI","herb",0,2,2
"HIERUMB","herb",2,1,1
"HOLODIS","shrub",0,1,1
"JUNICOM","shrub",3,3,4
"LEPTPYR","herb",1,0,1
"LILICOL","herb",0,0,1
"LOMADIS","herb",1,0,0
"LOMAMAC","herb",1,0,0
"LONIINV","shrub",1,1,1
"LONIUTA","shrub",2,3,3
"LUETPEC","shrub",2,2,2
"LUPIARC","herb",6,5,6
"LUPILEP","herb",2,0,0
"MAHOAQU","shrub",0,0,1
"MICRODO","herb",1,0,1
"MOEHMAC","herb",0,1,1
"NEOTCOR","herb",0,1,1
"ORTHSEC","herb",1,3,4
"OSMOCHI","herb",0,1,1
"OSMOPUR","herb",1,0,0
"PACKCAN","herb",1,1,1
"PARNFIM","herb",1,2,0
"PAXIMYR","shrub",4,5,5
"PECTBRE","herb",2,0,0
"PECTPET","herb",1,0,0
"PEDIBRA","herb",2,4,5
"PEDIRAC","herb",3,3,4
"PENSDAV","shrub",1,0,0
"PENSFRU","herb",1,1,2
"PENSPRO","herb",2,1,4
"PHLODIF","herb",5,5,4
"PHYLEMP","shrub",1,3,3
"PICEENG","tree",5,5,5
"PINUALB","tree",4,4,3
"PINUCON","tree",2,1,3
"PLATSTR","herb",0,1,1
"POLEPUL","herb",1,1,0
"POLYMIN","herb",1,0,0
"POTEFLA","herb",2,4,4
"POTEGLU","herb",1,1,1
"PSEUMEN","tree",2,2,2
"PULSOCC","herb",3,2,2
"PYROASA","herb",0,1,1
"RHODALB","shrub",2,2,2
"RHODINT","herb",1,0,0
"RIBELAC","shrub",1,1,1
"RIBEVIS","shrub",0,2,0
"RUBUPAR","shrub",1,1,1
"RUBUPED","herb",1,1,1
"SAXIAUS","herb",1,2,0
"SEDUDIV","herb",1,1,1
"SEDULAN","herb",3,3,2
"SELASCO","herb",3,0,0
"SENEINT","herb",1,0,0
"SENETRI","herb",1,1,2
"SILEINV","herb",1,0,0
"SILEMEN","herb",1,0,0
"SILEPAR","herb",3,3,3
"SORBSCO","shrub",1,3,4
"SORBSIT","shrub",0,1,1
"SPIRLUC","shrub",2,3,3
"STREAMP","herb",1,1,1
"STRELAN","herb",1,1,1
"SYMPFOL","herb",0,3,3
"TARAOFF","herb",0,1,0
"THALOCC","herb",2,3,2
"TIARTRI","herb",1,1,1
"TONELYA","herb",0,1,0
"TROLALB","herb",2,2,2
"TSUGHET","tree",1,1,0
"VACCALA","shrub",0,1,0
"VACCCAE","shrub",1,1,2
"VACCDEL","shrub",1,3,4
"VACCMEM","shrub",4,3,4
"VACCSCO","shrub",5,7,8
"VALESIT","herb",4,4,4
"VERAVIR","herb",2,2,2
"VEROCUS","herb",2,2,3
