"Species","Occurrences"
"ABIEAMA",21
"ABIELAS",48
"ACHIMIL",17
"AMELALN",21
"ANTELAN",12
"ARNICOR",24
"ARNILAT",39
"ARNIPAR",10
"CHAMANG",28
"CHIMUMB",21
"CLINUNI",20
"CORNCAN",12
"EREMCAP",14
"ERIGGLA",13
"ERYTGRA",15
"FRIGVIR",21
"GOODOBL",32
"HEIRALB",14
"HERAMAX",11
"JUNICOM",12
"LINNBOR",13
"LONIINV",12
"LONIUTA",25
"LUPIARC",36
"MAIARAC",12
"MITELLA SP.",11
"ORTHSEC",34
"OSMOCHI",11
"PAXIMYR",40
"PEDIBRA",18
"PEDIRAC",21
"PENSPRO",12
"PHLODIF",15
"PHYLEMP",10
"PICEENG",38
"PINUALB",11
"PINUCON",13
"POTEFLA",15
"PSEUMEN",18
"PYROASA",18
"RHODALB",22
"RIBEACE",11
"RIBELAC",20
"RUBUPAR",12
"RUBUPED",19
"SALIX SP.",12
"SEDULAN",11
"SILEPAR",10
"SORBSCO",25
"SORBSIT",17
"SPIRLUC",21
"STREROS",12
"SYMPFOL",21
"THALOCC",24
"THUJPLI",11
"TIARTRI",19
"TSUGHET",18
"VACCDEL",12
"VACCMEM",41
"VACCSCO",38
"VALESIT",33
"VERAVIR",18
"VIOLA SP.",14
