"","Species","Functional_group","ProjectID","PlotNumber","SiteSurveyor","Year","YearsSinceStart","RelocationConfidence","Latitude","Longitude","Elevation","present","Cover","Time"
"1","ABIEAMA","tree","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,1,120,"historical"
"2","ABIELAS","tree","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,1,10,"historical"
"3","ARNILAT","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,"historical"
"4","CHAMANG","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,"historical"
"5","CHIMUMB","shrub","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,"historical"
"6","CLINUNI","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,"historical"
"7","GOODOBL","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,"historical"
"8","LONIUTA","shrub","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,"historical"
"9","LUPIARC","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,"historical"
"10","ORTHSEC","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,"historical"
"11","PAXIMYR","shrub","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,1,2,"historical"
"12","PICEENG","tree","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,1,0.100000001,"historical"
"13","PSEUMEN","tree","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,"historical"
"14","PYROASA","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,"historical"
"15","RHODALB","shrub","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,"historical"
"16","RIBELAC","shrub","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,"historical"
"17","SPIRLUC","shrub","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,"historical"
"18","TIARTRI","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,1,0.100000001,"historical"
"19","TSUGHET","tree","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,1,20,"historical"
"20","VACCMEM","shrub","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,1,1,"historical"
"21","VACCSCO","shrub","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,"historical"
"22","VALESIT","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,"historical"
"23","ABIEAMA","tree","NCBG_ESSFplots","00NCe74","jpstamp",2000,24,"Med-High",49.12958668,-120.8160951,1620,1,3,"historical"
"24","ABIELAS","tree","NCBG_ESSFplots","00NCe74","jpstamp",2000,24,"Med-High",49.12958668,-120.8160951,1620,1,22,"historical"
"25","ARNILAT","herb","NCBG_ESSFplots","00NCe74","jpstamp",2000,24,"Med-High",49.12958668,-120.8160951,1620,1,0.100000001,"historical"
"26","CHAMANG","herb","NCBG_ESSFplots","00NCe74","jpstamp",2000,24,"Med-High",49.12958668,-120.8160951,1620,1,50,"historical"
"27","CHIMUMB","shrub","NCBG_ESSFplots","00NCe74","jpstamp",2000,24,"Med-High",49.12958668,-120.8160951,1620,0,0,"historical"
"28","CLINUNI","herb","NCBG_ESSFplots","00NCe74","jpstamp",2000,24,"Med-High",49.12958668,-120.8160951,1620,1,1,"historical"
"29","GOODOBL","herb","NCBG_ESSFplots","00NCe74","jpstamp",2000,24,"Med-High",49.12958668,-120.8160951,1620,0,0,"historical"
"30","LONIUTA","shrub","NCBG_ESSFplots","00NCe74","jpstamp",2000,24,"Med-High",49.12958668,-120.8160951,1620,1,1,"historical"
"31","LUPIARC","herb","NCBG_ESSFplots","00NCe74","jpstamp",2000,24,"Med-High",49.12958668,-120.8160951,1620,1,5,"historical"
"32","ORTHSEC","herb","NCBG_ESSFplots","00NCe74","jpstamp",2000,24,"Med-High",49.12958668,-120.8160951,1620,0,0,"historical"
"33","PAXIMYR","shrub","NCBG_ESSFplots","00NCe74","jpstamp",2000,24,"Med-High",49.12958668,-120.8160951,1620,1,8,"historical"
"34","PICEENG","tree","NCBG_ESSFplots","00NCe74","jpstamp",2000,24,"Med-High",49.12958668,-120.8160951,1620,0,0,"historical"
"35","PSEUMEN","tree","NCBG_ESSFplots","00NCe74","jpstamp",2000,24,"Med-High",49.12958668,-120.8160951,1620,0,0,"historical"
"36","PYROASA","herb","NCBG_ESSFplots","00NCe74","jpstamp",2000,24,"Med-High",49.12958668,-120.8160951,1620,0,0,"historical"
