"PlotNumber","Latitude","Longitude","Date","Elevation","Year","PlotLabel","Elevation_m"
"00NCc13",49.2275285482524,-120.96272413177,2000-07-15,900,"2000","00NCc13 - 2000 - 900 m","900 m"
"00NCe73",49.1228689510519,-120.820036366453,2000-10-01,1455,"2000","00NCe73 - 2000 - 1455 m","1455 m"
"00NCe74",49.129586676689,-120.816095134472,2000-10-01,1620,"2000","00NCe74 - 2000 - 1620 m","1620 m"
"00NCe75",49.1318434315633,-120.821260436089,2000-10-01,1750,"2000","00NCe75 - 2000 - 1750 m","1750 m"
"00NCe76",49.1295648197745,-120.823032821207,2000-10-01,1665,"2000","00NCe76 - 2000 - 1665 m","1665 m"
"00NCe77",49.0695601291033,-120.905716032925,2000-10-02,1470,"2000","00NCe77 - 2000 - 1470 m","1470 m"
"00NCe78",49.0861442484695,-120.925851280501,2000-10-02,1840,"2000","00NCe78 - 2000 - 1840 m","1840 m"
"00NCe79",49.088117621317,-120.944630328754,2000-10-02,1790,"2000","00NCe79 - 2000 - 1790 m","1790 m"
"00NCe82",49.0446240525405,-120.964625748643,2000-10-04,1810,"2000","00NCe82 - 2000 - 1810 m","1810 m"
"00NCe83",49.040928495917,-120.972398804319,2000-10-04,1800,"2000","00NCe83 - 2000 - 1800 m","1800 m"
"00NCe84",49.0404250607478,-120.972419277583,2000-10-04,685,"2000","00NCe84 - 2000 - 685 m","685 m"
"00NCe85",49.0368680288175,-120.964559221006,2000-10-04,1705,"2000","00NCe85 - 2000 - 1705 m","1705 m"
"00NCe86",49.0406395925497,-120.980032689017,2000-10-04,1745,"2000","00NCe86 - 2000 - 1745 m","1745 m"
"00NCe87",49.0314584918895,-120.942095623946,2000-10-05,1820,"2000","00NCe87 - 2000 - 1820 m","1820 m"
"00NCe89",49.0554966862695,-120.915533153857,2000-10-05,1725,"2000","00NCe89 - 2000 - 1725 m","1725 m"
"00NCe90",49.0644292061214,-120.892213473388,2000-10-05,1325,"2000","00NCe90 - 2000 - 1325 m","1325 m"
"00NCe91",49.1166780185398,-120.865192864627,NA,1450,NA,"00NCe91 - NA - 1450 m","1450 m"
"00NCe92",49.1222915488203,-120.869077581201,2000-10-06,1665,"2000","00NCe92 - 2000 - 1665 m","1665 m"
"00NCe93",49.1383284354848,-120.848522157277,2000-10-06,1615,"2000","00NCe93 - 2000 - 1615 m","1615 m"
"00NCe94",49.1422333003982,-120.845171765712,2000-10-06,1565,"2000","00NCe94 - 2000 - 1565 m","1565 m"
"00NCe95",49.1258538862608,-120.836670229292,2000-10-06,1540,"2000","00NCe95 - 2000 - 1540 m","1540 m"
"0114791",49.1638298,-120.77230072,2007-07-15,2225,"2007","0114791 - 2007 - 2225 m","2225 m"
"0114792",49.16588973,-120.77870178,2007-07-14,2225,"2007","0114792 - 2007 - 2225 m","2225 m"
"0114793",49.16717147,-120.78029632,2007-07-15,2200,"2007","0114793 - 2007 - 2200 m","2200 m"
"0114794",49.16852951,-120.78150177,2007-07-15,2145,"2007","0114794 - 2007 - 2145 m","2145 m"
"0114795",49.16878128,-120.78160095,2007-07-15,2140,"2007","0114795 - 2007 - 2140 m","2140 m"
"0114796",49.17169952,-120.78489685,2007-07-15,2100,"2007","0114796 - 2007 - 2100 m","2100 m"
"0114797",49.17219924,-120.78949737,2007-07-15,2125,"2007","0114797 - 2007 - 2125 m","2125 m"
"02-3085",49.14056015,-120.76389312,2019-10-29,2044,"2019","02-3085 - 2019 - 2044 m","2044 m"
"02-3087",49.1199913,-120.75212097,2019-08-14,1874,"2019","02-3087 - 2019 - 1874 m","1874 m"
"02-3088",49.13434982,-120.76452636,2019-08-14,1928,"2019","02-3088 - 2019 - 1928 m","1928 m"
"02-3089",49.14989852,-120.75676727,2019-08-15,2136,"2019","02-3089 - 2019 - 2136 m","2136 m"
"02-3090",49.1461296,-120.75446319,2019-08-15,2119,"2019","02-3090 - 2019 - 2119 m","2119 m"
"035079",49.18056106,-120.96109771,1979-08-15,770,"1979","035079 - 1979 - 770 m","770 m"
"035179",49.08110809,-120.81279754,1979-08-14,1210,"1979","035179 - 1979 - 1210 m","1210 m"
"035379",49.08889007,-120.8139038,1979-08-14,1210,"1979","035379 - 1979 - 1210 m","1210 m"
