"PlotNumber","Latitude","Longitude","Date","Elevation","Year","PlotLabel","Elevation_m"
"00NCc13",49.2275285482524,-120.96272413177,2000-07-15,900,"2000","00NCc13 - 2000 - 900 m","900 m"
"00NCe73",49.1228689510519,-120.820036366453,2000-10-01,1455,"2000","00NCe73 - 2000 - 1455 m","1455 m"
"00NCe74",49.129586676689,-120.816095134472,2000-10-01,1620,"2000","00NCe74 - 2000 - 1620 m","1620 m"
"00NCe75",49.1318434315633,-120.821260436089,2000-10-01,1750,"2000","00NCe75 - 2000 - 1750 m","1750 m"
"00NCe76",49.1295648197745,-120.823032821207,2000-10-01,1665,"2000","00NCe76 - 2000 - 1665 m","1665 m"
"00NCe77",49.0695601291033,-120.905716032925,2000-10-02,1470,"2000","00NCe77 - 2000 - 1470 m","1470 m"
"00NCe78",49.0861442484695,-120.925851280501,2000-10-02,1840,"2000","00NCe78 - 2000 - 1840 m","1840 m"
"00NCe79",49.088117621317,-120.944630328754,2000-10-02,1790,"2000","00NCe79 - 2000 - 1790 m","1790 m"
"00NCe82",49.0446240525405,-120.964625748643,2000-10-04,1810,"2000","00NCe82 - 2000 - 1810 m","1810 m"
"00NCe83",49.040928495917,-120.972398804319,2000-10-04,1800,"2000","00NCe83 - 2000 - 1800 m","1800 m"
"00NCe84",49.0404250607478,-120.972419277583,2000-10-04,685,"2000","00NCe84 - 2000 - 685 m","685 m"
"00NCe85",49.0368680288175,-120.964559221006,2000-10-04,1705,"2000","00NCe85 - 2000 - 1705 m","1705 m"
"00NCe86",49.0406395925497,-120.980032689017,2000-10-04,1745,"2000","00NCe86 - 2000 - 1745 m","1745 m"
"00NCe87",49.0314584918895,-120.942095623946,2000-10-05,1820,"2000","00NCe87 - 2000 - 1820 m","1820 m"
"00NCe89",49.0554966862695,-120.915533153857,2000-10-05,1725,"2000","00NCe89 - 2000 - 1725 m","1725 m"
"00NCe90",49.0644292061214,-120.892213473388,2000-10-05,1325,"2000","00NCe90 - 2000 - 1325 m","1325 m"
"00NCe92",49.1222915488203,-120.869077581201,2000-10-06,1665,"2000","00NCe92 - 2000 - 1665 m","1665 m"
"00NCe93",49.1383284354848,-120.848522157277,2000-10-06,1615,"2000","00NCe93 - 2000 - 1615 m","1615 m"
"00NCe94",49.1422333003982,-120.845171765712,2000-10-06,1565,"2000","00NCe94 - 2000 - 1565 m","1565 m"
"00NCe95",49.1258538862608,-120.836670229292,2000-10-06,1540,"2000","00NCe95 - 2000 - 1540 m","1540 m"
"essf85",49.0368680288175,-120.964559221006,2000-10-04,1705,"2000","essf85 - 2000 - 1705 m","1705 m"
